49
87197 365
17120 97839 -
59863 -94952 +
17271 -47622 -
8619 -93586 +
1956 -16088 +
5415 54248 -
32392 10536 -
13097 71527 +
78359 -64697 -
82233 -49497 -
42237 58341 -
19757 1751 -
21059 -99997 -
6873 90015 -
50443 -12080 +
712 39143 +
81251 -52902 -
24663 68591 -
75569 -75580 +
36044 56534 +
35139 81085 -
58732 -24763 -
73036 -82308 -
82898 58714 +
31681 -13295 -
27641 -76587 -
82224 -67448 -
18545 -2216 +
697 -43511 -
1006 43595 -
50094 -25466 -
13682 -17981 +
61749 -99831 +
19846 50549 -
34318 90254 +
34841 18577 -
56491 -66955 +
12158 69520 +
76266 -25835 +
16664 -75077 -
31141 -9385 +
32205 40754 +
20751 -17055 +
29631 41692 -
82530 44829 +
88850 -89957 -
16242 -94683 +
72420 -91703 +
63533 72915 -
48103 -67408 -
4084 -183 +
19165 -81668 +
14081 32366 -
49494 -89423 +
32992 64805 -
87095 79969 +
13763 -53577 -
370 -27202 +
25771 -28413 -
39246 73025 -
12659 19238 +
74365 -70863 -
60501 88192 +
5016 -75468 +
50375 -50097 +
37491 -84591 +
38117 79246 +
46353 29100 -
85535 -79503 +
35568 86082 +
32811 17762 -
89610 63564 -
5798 74542 +
7830 62887 -
19140 -59315 -
82345 -17942 -
87974 83621 +
38646 -13777 -
34721 -39131 -
38908 55323 +
67280 89415 +
35119 61738 +
65811 66426 -
54659 87120 +
30657 -27663 +
49445 11724 -
10698 -63808 +
30968 11818 -
73578 -94390 +
19225 -11271 -
50707 81557 -
84110 856 -
64839 -61384 +
78546 -21370 -
11460 -97902 -
20900 -22568 +
15000 49651 -
71232 -54164 -
23730 80552 -
53708 -20470 +
58091 38486 -
27719 -5287 -
45409 29933 -
78559 -90717 -
7544 -49308 +
70849 49562 -
34324 21334 +
30731 -89153 -
20684 18025 -
10247 56364 +
61051 -69702 +
21480 -83425 -
41853 61791 -
46961 98988 +
51394 -19268 -
76866 91251 -
27193 -29608 +
36002 89197 +
87731 34417 +
63102 88972 -
73048 -47040 -
44404 -3862 -
54657 79354 -
38436 14524 +
32389 86870 -
17336 -22907 -
24211 61094 +
77875 -1382 +
71895 20612 +
12124 25137 -
50988 50310 +
32520 67686 -
67020 -95907 -
60753 -59675 -
20875 93433 +
8048 92201 -
69907 -38221 +
14142 -67476 -
3368 74354 +
17827 85189 -
5413 66842 +
63647 12111 -
3925 11731 +
19851 7251 -
11224 43790 +
14176 50673 -
71149 -79518 -
58095 5303 -
90663 19132 +
33008 -45351 -
9587 -99052 +
24315 65529 -
86847 -37200 +
21793 78062 +
61404 66328 -
66996 7102 +
69505 -19473 +
58310 -43742 -
10349 31497 +
59778 -45093 +
3275 -40525 -
53761 56198 -
26823 4036 +
77159 -83152 +
22223 81187 -
58272 35039 +
47556 -28645 -
57560 74252 +
44555 8868 -
35520 -58111 -
81803 -73219 -
80864 86654 -
84033 -64486 +
76987 25660 +
91669 -77602 +
11487 -92676 +
66612 15645 +
41952 -20809 -
57358 752 +
52324 -32979 -
33997 36716 -
44736 -77856 -
88268 2155 -
33915 11367 -
66356 -35972 +
32339 70261 +
7995 -10793 -
86772 -72917 -
44639 -64638 +
71939 25002 -
79398 32800 -
21880 -10755 -
35596 9969 +
15979 29055 -
68650 -84549 -
84959 27626 -
74917 -85352 +
9807 26534 -
53963 -21952 +
61765 48432 +
44392 55239 +
69910 63525 -
1652 -2202 +
53892 -12777 -
25569 47062 +
1430 -88336 +
79907 -55231 -
48279 -52943 -
72159 -78626 +
6963 -89640 -
64907 20712 -
21510 54236 +
28492 59593 -
81742 79897 -
52271 3312 -
36505 -80660 -
60736 85710 -
15074 52606 +
42661 -9964 -
13289 24075 -
39237 35249 +
1205 -59684 +
80563 -9451 -
53441 -99854 -
13106 -14371 +
47599 -63889 -
70441 -66409 +
54678 -67348 -
66587 -66486 +
3912 -32456 -
82259 88228 -
58668 43403 -
44228 75547 +
33954 9472 -
22172 -16403 -
13710 -47416 -
28528 96319 +
36498 -67079 +
22401 91389 +
18766 -81750 +
53279 62163 -
83856 -50974 +
15214 55965 +
71676 90508 +
73293 -82896 -
70591 -30000 +
85404 59215 +
12819 -7477 +
12899 -74893 +
1623 -96941 -
74537 -5626 -
28329 -16253 -
12011 62778 +
24736 71921 +
25997 -72403 -
11899 33031 +
31383 69685 -
70710 28718 +
16480 -50785 -
10360 -71698 +
87784 37256 -
12421 15845 +
55126 8766 -
23927 22060 -
21882 -19257 -
12536 -86253 -
46837 -15828 -
73003 61664 +
88035 47369 -
74736 -10997 +
344 11706 +
87882 10926 -
17487 93977 +
30016 15185 +
33797 23123 +
76366 72974 -
17006 73447 -
25994 75971 -
9126 39327 +
27049 -58815 +
33790 19637 +
60145 -7019 -
78714 -99981 -
88810 30117 -
63131 -99662 -
51822 -6838 -
11568 90169 +
46980 55323 +
46342 -83520 +
55840 -7772 -
38250 -98532 -
81073 34685 +
63765 61428 +
12124 80692 +
44534 -96460 -
80225 -57452 +
13291 45281 +
83359 -54337 -
76370 -96647 -
66554 -80294 +
28673 99851 -
34672 -80370 -
63517 -3103 -
46506 -8937 -
648 82942 -
32723 -59864 -
1832 -97976 -
46555 -79253 -
83409 -65097 -
39774 96077 -
74087 -40596 +
64581 22188 -
11394 -95486 -
20747 -12154 -
57147 51026 -
58188 -47867 -
6869 65487 -
78253 -20728 +
89944 87746 -
51537 31816 -
41745 -92202 -
83887 -20574 -
83755 62268 +
36288 -76318 -
18263 -28874 +
81887 -74598 +
68010 1990 -
86796 86208 +
9518 -66201 -
60719 63502 -
52774 34823 +
82323 -25496 +
69881 75010 +
2842 -845 +
17303 81109 -
14658 -37096 +
42810 97230 -
68832 90686 +
42143 83133 +
74472 -17555 +
42073 -16774 +
41182 30108 -
48041 74241 -
89108 -26086 -
51533 8400 -
66452 -13386 +
28405 -95465 -
46989 -9695 -
54472 34171 -
24580 25545 -
25624 -12780 -
87354 -89730 -
70815 38222 +
88779 -38600 +
74553 -61884 +
26538 32238 -
55760 4153 -
40679 -99104 -
23507 20249 -
29090 10928 +
61168 41381 +
80751 55416 +
73835 64792 -
82110 67799 +
18646 78797 -
40640 83339 -
72747 69125 -
16794 -95595 -
50268 -7959 -
21594 11965 +
18973 -7680 +
65933 -61014 +
59581 -20761 +
55229 -94956 +
9362 85154 -
85659 -10216 +
23956 -19407 -
9585 -79117 -
90741 68631 +
49339 83337 -
61973 -37778 +
79542 -63575 -
90676 -4821 +
12027 -43230 +
51741 -60260 -
75999 81268 +
36685 -91731 +
63457 -90098 +
59333 -58522 -
1271 -8162 +
53818 -41192 -
75886 -12330 +
72276 32545 -
10823 35491 +
74029 -72749 -
3213 -10795 -
4985 -84283 -
68759 -2383 -
72050 -57813 +
23784 42400 +
34706 -69563 -
75893 -43120 -
62856 -6444 +
29670 -95664 +
48869 88389 +
53051 56609 +
13477 33933 -
36627 43564 -
50771 -64146 -
37301 36690 -
25266 -27710 +
63828 -55823 +
31647 48997 +
5104 -45557 -
56213 -5996 +
57053 36392 -
8299 -31366 -
52151 23518 +
52679 -19216 -
59022 53946 +
49785 -54362 -
75146 -38690 -
31879 72793 +
75870 33547 +
29299 29587 -
10152 -55557 +
54187 -47351 -
10459 -50865 +
80374 -29898 +
20241 -28409 +
76385 -27908 +
76469 73484 +
60665 -346 -
40702 -93500 -
24835 75077 +
56542 -23129 +
76859 -66740 +
62257 -50989 +
57611 -84719 +
85458 -93317 +
40744 98861 +
30186 -28867 -
35391 -86864 +
46820 69099 -
83748 -41799 -
73540 65720 +
47217 65832 -
35627 53132 -
55517 -90007 -
75210 -33573 -
58484 50001 -
37702 11945 +
16790 -75829 -
22017 39694 +
6745 58006 +
52717 -46751 +
75892 2254 +
36071 -13504 +
67973 -94945 +
45415 48182 +
52979 37105 +
84682 20932 +
45139 49761 +
22417 -53976 +
75442 -36548 -
57398 -52933 +
37435 -46972 -
23365 -83108 +
68303 58807 -
3356 59155 +
64200 25249 -
31831 69023 +
19937 46259 -
50125 -12228 +
48962 44163 -
60314 95353 +
81185 68583 -
78163 66127 -
75232 -80505 +
8555 48479 +
43607 17998 -
9304 16059 -
36729 1724 -
55489 62532 +
14786 -6565 -
73287 8023 -
39597 22102 +
35976 -78284 -
39413 52996 -
40070 -84331 +
4708 79160 +
75235 -62196 -
67888 73961 -
64972 -96084 -
36506 -31754 +
26149 15210 +
88601 77337 +
35849 -59074 +
18459 -69885 +
40864 -17091 -
52428 -41061 -
51533 -35052 -
79049 -66785 +
13545 60329 -
15188 46081 +
30269 -60713 +
76124 78335 -
27042 -75681 -
3839 53350 -
77718 23279 +
24930 -15411 +
86127 59780 +
85791 4572 +
84150 74112 -
87407 -6276 -
6834 -439 +
25796 -17414 -
47045 -14878 -
87331 57237 +
749 -52473 +
82294 -34811 +
54334 77593 -
8627 -92943 +
71934 -7275 -
7564 16635 +
35437 38548 +
34407 -4017 +
51454 -35004 -
22181 -50607 +
81559 -78896 -
76463 -91993 -
62075 -23964 +
3794 -64464 +
4259 -26118 -
78015 44004 -
90475 17861 -
62324 -79446 +
21195 27193 +
83475 -33007 -
3710 69043 +
30156 33498 -
50684 20769 +
69849 66540 -
52292 -16269 +
57898 50602 +
48760 -20054 -
1032 19446 -
12314 -37063 -
7838 -41658 +
56430 31790 -
72093 98029 +
50662 -82536 +
29049 1557 +
94296 207
83731 -42283 +
42651 71647 +
81693 85153 -
44755 79579 -
57778 68676 +
54859 81991 +
18731 79337 +
73219 -66466 +
11871 -21523 -
5884 99297 +
91660 -64779 +
17983 -65397 -
27776 -10357 -
81365 -91488 +
81501 -56946 -
92142 -15464 +
30868 85189 +
93643 -77401 +
23265 -34221 +
15943 44712 +
13767 -96443 -
41579 -7006 -
37383 -9299 +
88993 -32693 -
24535 3908 -
70646 -92285 -
81854 -44562 +
91260 84919 -
64269 79461 +
76222 -51385 -
34961 -12287 -
83054 -82599 +
60261 -86998 -
60338 16709 -
14455 -6321 +
20404 86853 +
83183 -38780 -
16292 -46922 -
29368 -96837 +
51491 -50065 -
36600 -81018 -
71582 85964 -
63236 -44999 +
8970 69234 +
47407 -79124 +
75966 45309 +
14394 -98677 -
39692 -89342 +
12309 30770 -
32416 -72940 -
56231 24438 +
72104 57325 +
5639 -97743 +
28623 82634 +
87902 57648 +
27253 -4657 +
15786 38524 +
32003 -10081 +
47038 -98243 -
16409 -2069 +
78737 71776 -
23656 14949 +
34170 67447 -
5994 -26857 +
41114 32867 -
24457 -99602 +
73490 3616 +
51649 -81384 -
13668 78742 +
27905 48381 +
42820 74727 +
9768 -73246 -
30709 -48254 -
19593 4008 +
86252 39477 +
45927 -80808 -
72277 22488 +
86285 42982 -
6831 70113 -
44190 -3590 -
67748 -68275 -
57409 7003 -
19403 -12777 +
51225 7079 -
35024 61144 -
10952 -33306 +
30489 1609 -
43777 -50077 +
75400 25999 +
24507 -81019 +
90513 -95553 +
20098 55329 -
40742 51680 -
37484 -492 -
46962 -88650 +
85427 16399 -
19019 8387 -
12018 -94997 -
36290 -9579 +
84600 40372 -
59409 -93705 +
36803 80196 +
46515 73425 -
53845 -65149 +
94114 -59695 +
84177 84994 +
16783 -28184 -
61259 -40085 -
59968 73497 -
17912 11892 +
44840 66981 +
38123 30606 -
8918 -84654 +
76981 78217 +
76038 -40678 -
65574 40437 +
84058 -48070 -
83750 -12423 +
68417 -15100 -
72469 -62263 +
34234 33383 +
73006 -48993 -
63792 -11583 -
47860 -59048 -
9225 -36102 -
89158 -22232 +
74172 -33720 -
55315 -71470 +
48742 -13584 -
10402 21806 -
63192 5795 -
22764 31972 +
55791 71449 +
58755 -66356 -
25457 -50725 -
88926 -37802 -
16108 35206 +
1311 36742 -
86213 -13622 -
45575 34285 -
72881 -55742 +
33406 18783 +
31111 -74337 -
74383 54309 +
65864 51139 -
59471 30212 +
40929 -34092 -
44431 47743 -
34313 -42680 -
29426 92623 -
15067 18652 -
49815 58304 -
23620 84022 +
1870 -5415 -
33956 5704 -
69927 -38350 -
9213 -37150 +
31833 -75993 +
86641 39674 +
15876 62793 -
59111 93570 +
30294 40568 -
61952 44871 +
41442 53429 +
57306 -31988 -
93560 -6532 +
56541 -58869 +
81505 9975 -
84182 -80351 -
45891 -39435 -
63496 -16253 -
77984 -71937 +
72757 -55466 +
12971 6963 -
91687 -9087 +
17017 -34515 -
88097 13930 +
23146 81757 -
48029 -46531 -
16360 58731 +
2951 -3183 +
91497 -58889 -
32024 -13016 -
78758 -3534 +
24325 -95137 +
66782 -66185 -
39895 16047 -
84092 62166 -
91857 -9385 +
69335 91462 -
47035 -62609 +
59934 86033 -
45259 -32603 -
24864 38723 +
65817 -10520 +
83633 -56917 +
79111 -91012 -
11271 -91659 +
58848 22051 +
79767 -47340 -
91082 26701 -
4626 77611 +
10480 -24721 -
6527 -95434 -
49794 70966 -
29522 43775 -
73131 -38764 -
17410 705
3127 -87963 -
5550 95840 -
10314 6042 +
12479 -81173 -
15683 -64090 +
15189 -52255 -
3884 50401 -
2799 -88889 +
4133 -45737 -
6991 -13695 +
17227 5489 +
13120 -16640 -
9124 -42763 +
6207 78246 -
3884 -93656 +
256 -67825 +
15422 -16355 +
11429 23179 -
5904 -90463 +
2847 58660 +
1819 -33362 +
5658 95655 +
3992 14456 +
17155 73597 +
1788 -16881 +
3463 -79518 -
10084 -95719 +
14304 -87879 -
3415 90569 +
8440 -57424 +
15965 -11908 -
7685 -80467 +
4793 31571 -
13395 54815 +
15046 14683 -
3981 -73593 -
5319 31418 -
358 19926 +
9276 -62750 -
13021 -38307 -
13420 36559 +
4795 -24354 -
11279 -86574 -
10895 -24840 -
15645 -71313 -
5041 73554 -
13195 4285 -
16361 -79312 +
7528 73499 +
3751 -50516 -
183 -18528 -
3892 65471 +
13239 84818 +
5008 15553 +
12037 -60036 -
15823 -93790 -
11399 -94743 +
560 -40723 -
14367 37157 -
12947 -67174 -
6510 -5183 +
3305 -30695 +
12341 -25021 +
16994 70139 +
7234 -18224 -
13280 -38615 +
10932 -27561 -
16507 -4932 -
589 -38706 +
12387 73506 -
15517 -8850 +
12745 -18936 -
11513 -24731 -
16235 -50307 +
1482 3060 +
10674 92038 +
2833 26772 -
11669 -16501 -
13437 -62772 +
6082 -72792 +
6139 -4964 -
14791 -76922 -
7953 23914 -
15928 8731 -
3677 -15807 +
14803 -66346 -
7204 -51123 +
15106 -327 -
3006 -79734 +
7840 81091 +
4539 -88312 +
8529 28236 -
10260 15468 -
16283 -74176 -
1080 -41418 +
12843 26781 +
16464 -60625 +
10198 38014 -
6460 -36531 +
6425 -72643 +
3224 63800 +
3286 66816 +
12504 71705 +
14224 -24533 +
9324 -31237 -
14446 27828 -
1905 -13884 +
1877 -12389 +
16545 -93250 -
4327 -60351 +
6527 -60283 -
16946 -68418 -
7936 -36766 +
10741 -96058 -
10438 -21810 -
10208 -44384 +
4583 35919 +
3615 -84232 -
10004 -26439 -
475 64411 -
53 -59526 -
9303 -4756 -
437 19415 +
6624 2186 -
3051 -3274 +
3275 84029 +
2456 48705 -
10347 63315 -
10043 98005 +
16777 -88656 +
12949 -93679 -
12258 30115 -
13640 35942 -
4380 -11870 -
3513 99238 -
16962 -67077 +
10283 1002 +
13187 31413 +
7607 -73906 +
16512 -45594 -
6167 -18416 +
13728 -48472 -
11533 81359 +
8304 -32137 -
1557 34360 +
16365 16528 +
2444 48941 -
12617 -12459 -
9582 23271 +
1599 -89569 -
9415 89702 +
4843 -56263 +
6325 48913 -
8671 93804 -
4771 68291 -
241 56713 -
9937 -45764 -
4887 25794 -
13785 -94616 -
5354 31449 +
8758 -38466 -
9661 -40436 +
793 -72011 +
121 -28358 -
11635 -9461 +
16276 51362 +
1493 -69486 -
5182 6117 -
16316 38741 -
5309 -41842 -
12492 -76953 +
6559 -57826 +
9435 11834 -
10821 2777 -
2009 55928 -
282 21294 +
2736 59956 -
15388 -84504 +
15893 58436 -
13384 -90984 +
108 -47742 -
16520 -25811 -
8641 93702 +
3665 29274 +
9622 66053 +
13155 -29008 +
12072 -53193 +
6964 5109 -
9758 -74212 +
10531 14927 +
13347 -65868 +
3445 -65157 +
1436 29418 +
4083 39460 -
2747 95238 +
17099 28817 -
8535 59570 +
12054 70223 +
7635 16623 +
6171 -7894 -
10306 -2545 +
8510 -94316 +
4764 -70241 +
6055 94131 -
259 42163 +
8356 -58719 -
6653 20878 -
14588 61406 +
13597 -58042 -
15933 57022 +
7 -156 +
17361 27502 -
266 -98027 +
3664 68842 +
15032 -53313 -
3425 48384 +
9836 -2828 -
5974 18050 -
3539 -64880 +
1379 80883 +
7961 15997 -
6003 -93195 -
9448 -17389 -
15341 99169 +
514 -61089 +
9535 -66169 +
11246 54871 +
9670 94343 -
9350 -42414 +
417 -16493 -
9743 -44074 +
9015 96896 +
1102 60116 -
13163 -79173 +
9075 -35831 +
8933 96320 -
203 -12245 -
7446 84743 +
7661 85817 -
13766 61410 -
11984 -57455 -
7911 -59084 -
1050 64832 +
15352 -33084 +
13208 47678 +
8007 65761 -
13606 25781 -
3955 -51658 -
14244 72256 -
14563 15249 -
14482 -39496 +
11850 3750 +
2785 59440 +
14603 -59317 +
7030 -77787 -
8877 -43159 +
2834 83983 +
1379 -88319 +
16895 -54994 -
16655 79588 -
4294 37100 -
8802 -43403 +
17234 -56859 -
6638 -94326 -
4697 18943 -
5322 -16446 -
16152 69499 -
6758 12194 -
10489 -78921 -
4 -89541 +
13037 95791 +
972 -77826 -
626 19246 +
8679 -91514 +
16290 -37489 -
14823 42193 -
6819 80953 -
8608 -7660 +
3491 18362 -
15364 47212 -
16433 74687 +
12259 92028 -
14017 96729 -
9314 -11828 +
6428 -93562 +
842 44840 +
6332 63506 +
8695 99901 -
4692 -12829 -
9979 37075 -
14208 -57521 +
9893 -19143 +
7978 -48030 +
12117 -8822 -
10395 14210 -
1588 -14961 +
16830 16211 +
1998 -31490 -
7604 86191 +
8480 -75416 -
13760 -64039 +
3382 42821 -
8339 17091 +
10350 -15108 +
9838 -99850 -
11524 -36556 +
3788 -42051 +
2952 63236 +
13845 -91240 -
6155 37365 -
13188 48797 +
11727 28543 -
7443 -36424 -
17113 88273 +
668 72011 -
8838 -21554 -
4435 -18642 +
7597 30672 +
14841 -50123 -
16878 -32157 +
10621 -39518 +
5874 -27382 -
13658 12950 +
8058 -90663 +
5652 51185 -
2427 81593 +
273 56193 +
3236 -51591 +
4745 -16882 -
3475 -1961 -
5091 11903 -
5977 -69894 +
12165 -3132 +
6498 -96006 +
11756 -38853 -
9048 -9030 +
3686 27236 -
15953 77032 -
2453 -29143 -
12763 86482 +
7897 -88372 +
12155 -73512 -
10808 -42601 +
10646 26541 -
6229 5045 -
2503 -57046 +
6747 -79141 +
11378 -13437 -
3594 -58317 +
8563 -42930 +
6594 -30739 -
15227 -66307 +
2677 -51498 -
1574 76048 +
11808 92026 -
6675 -27395 +
211 61490 +
13823 -36824 +
13180 -14773 -
4231 29078 +
14497 6817 -
317 -62956 +
14201 78876 -
17252 8385 -
718 -39974 -
15441 -82203 -
694 22636 +
14970 64908 +
12044 77421 -
11384 99737 +
3479 -99905 +
13020 40700 -
14804 53605 +
12609 -15262 -
3809 -69706 +
2940 -77579 +
16400 -85334 -
12826 -63035 -
12111 21191 -
7725 35938 +
16708 -39572 -
11859 80853 +
6632 -93737 +
11549 -55675 +
1194 -94088 -
5748 33382 -
16953 -35603 -
6045 -49562 -
16531 -93327 +
13257 -15499 +
15944 -2103 +
15154 13586 +
6082 33157 +
12946 81636 -
8723 -19032 -
5568 92992 -
8616 22692 -
215 93303 +
4122 -10933 -
485 -85433 -
11192 -56999 -
9160 67418 -
14030 -87685 +
14360 -49549 -
15600 83558 -
1570 44448 -
12244 36682 +
6055 44914 -
13924 93385 -
769 96601 +
16848 18433 -
6503 -3769 -
3804 -75953 -
353 -2129 -
14478 -66980 -
8138 -23766 -
9025 911 +
8629 -7194 -
1365 -74752 -
6957 -83771 -
834 -54347 +
4623 -24363 +
11806 -92924 -
4326 40096 -
3669 -79651 -
12796 -88053 +
5065 75742 -
15304 -14905 +
2707 -97442 -
8168 -18813 -
5122 -63984 +
13453 -4258 -
15452 -44720 +
1419 90338 -
