56
4652 37
18661 -49823 -
8308 -28917 +
28415 43285 +
38067 14288 -
1260 1940 -
31233 21385 -
28708 -30808 +
13182 -70012 -
3300 -90668 +
36366 69753 -
2212 60752 -
29150 -61903 -
21928 77020 +
31935 -89864 -
29971 -60929 +
8317 75967 +
24381 -83332 +
12709 -27072 +
16463 -78027 +
19850 -88838 +
31092 88286 +
29112 -7422 -
48321 -26790 +
6460 -85286 +
12747 75680 +
2084 31986 -
38790 41797 -
27828 2895 +
48340 -17092 -
30944 6316 +
19718 -86974 -
50137 63045 +
18106 59217 +
16798 14162 +
49085 -32737 -
37865 18078 +
29640 77926 +
25516 -53864 -
11467 -46442 +
25005 -4059 -
44184 63932 +
27983 23565 +
49751 -83565 +
11296 -64871 -
16580 -66060 -
3556 -9481 -
3262 4201 +
15981 -18164 +
36949 -55227 -
27593 49706 -
48691 67912 +
7899 713 +
34602 16922 +
4250 68169 +
18249 71359 -
31656 63218 +
33239 56886 +
44686 20800 +
37599 33026 -
28292 58528 -
47064 -65972 -
44725 79317 -
45511 -54482 +
42939 57741 +
24085 -62709 -
21187 58451 -
23148 -77090 +
47415 -30130 -
36481 15797 +
12969 -56208 +
45083 66745 -
36368 -68425 +
11977 -54049 -
44413 595 -
31642 81945 +
31734 -21962 +
49917 -55091 -
27854 43912 -
34558 -27221 -
16660 -32048 -
18487 877 +
30092 -6272 -
16193 -38911 +
26389 84536 -
1546 69185 -
20904 58150 -
43338 5239 +
34864 -31053 +
48943 92484 +
21151 30110 -
29860 -88080 -
3448 78171 -
4265 23560 -
15623 -12828 -
42714 -19017 -
28098 83392 +
49124 -85713 +
1437 46616 +
42161 35377 -
26427 65248 -
41904 18399 +
22132 45835 -
20173 54757 -
20347 73421 +
37668 -26163 -
11075 60153 -
42669 -68253 -
8189 16691 +
35768 -41068 -
33364 -13376 -
18238 -58033 -
17814 67697 +
50685 -96602 +
16923 82149 +
23967 -52290 -
23814 -66636 -
39826 -36250 -
16780 59269 -
1790 74288 +
32791 44180 +
10687 -66036 -
16898 97009 -
26879 358 -
13595 17244 +
25030 74761 -
41648 -10241 +
44228 32784 +
32236 99930 -
41404 -41648 -
1588 -81025 +
1480 60098 -
46827 -83645 -
10950 -42715 -
38831 2104 +
2027 -25233 -
35680 53485 -
4960 -49112 +
19625 7515 +
4498 -61892 -
43230 27327 +
18422 -60685 -
33827 44086 +
6509 67809 -
22854 -30689 +
34767 58549 +
28795 -84050 +
45051 -28530 +
13508 -91653 -
27503 70006 +
44484 14868 +
31116 -73219 +
31001 23638 -
50555 -10105 -
6280 84816 -
10254 -86152 -
45832 -58991 +
22315 25065 -
19937 -84323 -
12647 78757 +
10363 -88201 +
12099 34975 -
9954 -73646 +
2453 48771 -
28992 -44224 +
44281 20759 -
46460 8666 +
12549 -25831 +
8048 -45578 -
28169 72237 -
10821 -43301 -
4695 89850 +
36591 27541 -
34528 84648 +
10810 -19355 -
42206 -18725 -
15810 -29568 +
38117 54871 -
42103 5748 +
4892 19212 -
22788 -1032 +
43384 66467 -
12702 89812 -
7035 3474 +
37811 -64428 +
22032 -59121 -
6029 98367 +
42753 81674 +
27122 34392 +
30651 7692 +
5344 -13211 -
47616 71774 +
20588 -44081 +
47391 32747 -
25819 24622 +
34386 -74586 -
33661 46935 -
35518 -23664 -
3861 87650 +
6836 -21915 -
42689 84602 +
43970 64991 -
24195 93708 +
43280 -68210 +
49416 -20640 +
3564 16587 +
15659 -27761 -
28473 74668 +
42830 -46696 -
21184 97085 -
19383 66956 -
6579 31399 +
44833 -51293 -
43106 -55018 +
26586 -48939 +
23136 98391 +
38198 -32195 -
6126 83024 +
15432 74077 +
46678 -35564 -
19711 80197 -
38875 36616 +
3448 44440 -
38400 -91995 -
4845 -70705 -
43380 -95250 -
21324 79890 +
18827 -80058 +
34890 -16734 -
39035 14278 -
47146 7200 -
40153 -76070 +
42752 95116 -
165 -80889 +
10329 -84826 -
34404 -41555 -
20149 74864 -
26617 -54595 +
31198 22494 -
19382 -54292 +
6011 -90367 -
1241 -74315 +
9196 -76381 -
33103 -86387 +
50061 -145 +
45464 58316 -
9829 10679 -
30970 26622 -
28199 -55097 +
50705 -32905 +
40803 49784 -
23452 23077 +
32689 -21256 +
10990 -26778 -
2937 -14604 +
28476 -36088 +
1003 91404 +
40100 12253 -
30520 21249 +
33391 63072 +
46156 75397 +
47994 -42710 -
29772 -67011 -
7701 55580 +
22468 77753 +
33345 98048 -
15460 -75098 -
30592 -53429 +
18732 -84870 +
19736 92077 -
30220 76717 +
39884 -14160 +
31713 -55644 +
46558 -91314 -
50383 44076 -
18347 -77694 -
14743 16612 -
16846 10466 +
29825 -46444 -
34704 -42907 +
39092 -38553 -
27334 -26282 -
42724 -52793 +
4638 10885 -
44173 65252 -
33549 -58277 +
10601 48819 +
32835 -58601 +
24411 96443 +
32041 53956 -
1597 79587 +
20264 16281 +
38216 -27977 -
33363 50139 -
36797 -6184 +
31989 64861 +
39478 60267 +
27042 4349 -
35225 18462 -
45107 -27714 +
14775 29880 -
38425 15294 +
5651 77306 -
38087 34169 -
43467 -62013 +
2552 -99996 +
3974 -49897 -
16459 76011 -
14744 49240 -
41056 -22170 -
1254 -81906 -
7376 -22363 -
42019 29775 +
24520 -53104 +
8907 -72669 -
15035 -31611 -
7470 18967 +
24540 71543 +
42323 26673 +
45936 -61095 -
30127 78758 +
23226 57160 -
8660 82433 +
30330 38729 -
11217 13031 -
49990 69784 -
35098 86405 -
27942 -73403 -
8724 -92598 -
11359 -98796 -
46698 8598 -
43105 -40844 -
34422 -76742 +
42062 15992 -
32275 45044 +
44990 -43139 -
35852 -23766 +
942 79518 -
46966 -88494 -
17341 -52980 -
29277 50713 -
26786 13071 +
43307 21015 +
6547 23954 -
48190 79562 +
47452 -73831 +
6834 -66137 +
48552 91289 +
24451 84742 +
13133 -78843 +
16133 88780 +
30319 -2442 -
48147 28251 -
1145 31655 -
30485 -81344 -
2951 10630 -
45137 -73357 -
7124 -41565 +
4507 -75741 +
41486 -3736 +
7492 26772 +
17638 74186 +
33961 41519 -
5048 54241 +
27735 -64489 +
25348 -70611 +
5937 -9802 +
19649 -96728 -
49170 71382 +
6582 -2030 -
36503 -65011 +
40936 23123 +
29044 3865 -
1191 51269 +
31615 16132 -
13463 61228 -
47313 -42072 +
16546 60211 +
50366 -77985 -
2096 75564 +
22506 -78105 -
9251 41432 +
26257 97070 +
41249 85246 -
5189 -16796 -
28938 -71686 +
50561 75055 +
22207 -79901 +
42359 72231 -
19529 14509 +
35919 25988 -
32299 -83617 +
12474 -96409 +
41107 1107 -
15336 -34472 +
15546 83511 +
48454 -17038 +
14314 -35558 -
20717 -78159 -
47514 -96567 +
13918 -17104 -
6734 69071 +
25490 48823 -
17621 64349 -
34823 -2409 +
9184 -29890 +
7175 -30676 -
39327 -68133 +
43367 24056 -
7210 -94835 +
1722 34669 +
26588 31743 +
31479 -17644 +
4525 87540 +
15529 -72759 -
49971 83636 +
38302 -43933 -
15699 98717 -
12747 41779 +
7778 -43817 -
20150 7834 +
41707 63156 +
31379 6769 -
27857 -22657 -
5822 -91426 -
25407 68755 +
21426 68463 +
21963 1506 -
14751 -18409 +
35893 66924 -
12709 -29402 -
29729 70887 +
15365 -51334 +
1866 -57487 +
40403 57372 -
42678 58251 +
4844 -12403 +
877 46459 -
28110 54589 -
38268 78054 +
6943 -90501 +
30124 85983 +
18191 59094 +
15378 -70269 -
9736 4039 +
19291 82272 -
23137 -48620 -
14617 -37499 -
23430 63857 -
47354 18166 -
36272 355 -
36143 -15336 -
39319 68485 -
15629 -37845 +
8439 -38353 -
32424 -41108 -
32053 20520 -
37473 14800 +
3820 53246 -
17219 -83232 -
22226 74379 +
29957 -8735 -
16789 52477 +
33384 46994 +
23826 -11293 +
33622 -40370 +
44688 92333 +
31682 19259 -
4837 42079 +
31100 -81002 -
28631 -52501 +
2060 45776 +
27771 86867 -
9151 22771 +
24610 61363 +
21089 64580 -
15721 -33309 +
26378 -42846 +
27276 99861 +
548 -65542 +
9848 -23212 +
44993 93492 -
33380 20188 +
30343 4858 -
4590 -6562 +
34706 41055 +
12198 6325 +
46576 39105 +
4958 -9759 +
33971 99760 -
39380 24071 +
34516 -42543 +
36453 24253 +
50036 8860 +
22087 24231 -
40284 24832 -
4092 20304 +
15360 -50326 +
15982 66519 -
48037 50806 +
30360 -88912 -
15145 37665 +
34176 46623 -
25313 -3683 +
13535 42543 +
17226 -10249 +
38437 38354 -
30751 -47608 +
32971 -63721 -
23583 -57833 +
227 -39258 +
20022 74023 +
49950 -88443 +
44437 -16113 -
8157 -70276 +
12994 69458 +
7887 -57551 +
46267 -85662 +
5886 -13363 -
10374 58285 -
11818 -59412 +
10010 75768 +
15418 11096 -
14938 26320 -
4681 53647 -
17073 -77978 -
35620 -45594 +
39732 9244 -
47814 -9906 -
37079 -46612 -
1654 -27442 -
32898 -85994 +
16316 58629 -
33097 69094 -
41978 -41730 -
10196 36954 +
6466 29101 +
5692 62061 -
17504 27184 +
13289 74308 -
44953 28722 +
46511 -7571 -
15171 22356 -
11416 -53739 -
9075 51841 +
41384 36727 -
25246 77748 +
11848 69365 -
21915 27709 -
1869 -26631 -
29220 -13619 +
41714 71912 -
24178 -50829 -
24165 1632 -
14918 -75279 -
40155 -66698 -
123 -80259 -
39077 -1134 -
5844 -68784 +
21005 29781 +
13121 42759 +
28583 -48050 -
46757 6944 -
18920 -19186 +
36515 -77789 +
41803 -31942 -
6241 23996 -
42899 57234 +
3372 -56706 -
34427 -95956 +
23243 26353 +
37423 13 +
18586 -19038 +
46385 -47937 -
28590 -31490 +
36073 58269 +
18552 -78282 -
3339 25650 +
36463 45056 +
56627 506
45539 -74720 +
35594 56656 +
23131 18149 +
38597 88828 +
10606 -5982 -
11785 -95610 +
53121 17698 +
5436 -38390 -
9831 63521 +
20940 9671 -
6308 -69040 -
24808 -60827 -
55137 -63304 -
17470 41299 -
23621 38568 -
2564 62387 +
13249 -7969 +
3545 96638 -
9491 -59377 -
52341 -26098 -
42625 -98453 +
29630 62764 +
16216 10421 -
21517 -9193 -
41765 62879 +
29680 62010 -
14554 -20572 -
30452 -5135 -
6569 45760 +
1695 -75484 -
31344 98152 +
27343 90798 +
43001 -62738 -
21106 57260 -
17568 -8198 -
31782 91344 +
46807 56967 -
9380 5042 -
52388 -12484 +
46711 48743 +
4483 84044 -
43549 -71839 +
49550 43756 +
23824 91917 -
39270 -22400 -
24877 31052 -
36263 48059 +
8943 25702 +
9377 -68219 -
19940 -71180 -
40185 -42668 +
21257 18482 +
49648 -47289 -
12830 -41727 +
9637 -48821 -
10620 5166 -
29344 20475 +
29739 21718 -
15698 -86024 -
4619 -45457 -
51587 -76632 -
33844 45499 +
34532 -97137 -
14506 -21606 +
5653 -80436 +
46370 -9996 +
22804 -97404 -
5157 50897 +
2663 88617 +
10459 93597 +
40372 98269 -
48214 94983 +
35032 -26293 -
17677 -15042 +
51233 -6326 +
31497 84095 +
19702 57586 -
48209 88279 -
32623 -2183 -
37751 46588 -
1257 78526 -
22969 -81326 -
507 25389 -
50806 -84249 -
48418 -67068 +
10465 -13532 -
47968 52945 -
34308 -14464 -
3065 57751 -
4232 -6795 -
9341 27402 -
23440 235 -
42042 93083 +
44511 50650 -
43602 -63294 +
45237 13862 -
48213 -81019 +
13023 27502 -
34346 -35783 +
49206 9163 +
5377 69863 -
48380 -78917 +
39922 82332 -
36037 -38875 -
49942 52040 +
8552 57498 +
44214 6436 -
12723 36883 -
44526 -6403 -
12216 -56112 -
15158 -70708 +
15696 97356 +
16108 46891 -
18283 -88133 +
46744 53335 -
5722 88187 -
24872 -72131 -
6379 3031 +
13836 18089 -
52754 -50964 -
21226 -34164 -
42410 67109 -
45698 -24183 +
32985 -28128 -
1271 -96917 +
23346 24557 +
35474 -35009 +
56290 26626 +
2114 85437 -
23070 -75803 -
17061 -13063 +
41498 28054 -
13828 63325 -
15709 39103 +
18187 -20721 -
20570 12165 -
23946 84075 +
12303 88704 +
6446 -53439 +
54065 -22643 -
34804 -33595 -
46598 28658 -
43894 -3555 +
44167 95749 -
35987 -33706 -
34397 -68446 +
22186 -90532 -
22316 -48256 +
7720 -16709 -
55967 -38468 +
23768 -20030 -
39693 -57073 -
5988 -54697 -
42671 4473 +
45577 -92437 +
35336 -58282 +
12622 -82340 +
37844 -17088 +
20779 72505 +
22250 -35171 -
11566 -17854 +
39951 48865 +
2380 78151 -
26990 -56540 -
24906 -90985 +
34681 34493 -
51763 42604 +
24648 -75656 -
44204 -15358 +
12274 53410 +
766 26439 +
699 -87366 -
7282 41728 +
19049 35081 +
12734 -32270 -
2125 59688 +
41567 92313 -
27112 44843 -
16304 24127 +
9768 47390 -
16123 -4389 -
25013 -77147 -
538 -41119 +
50663 84670 +
52329 99248 -
13197 27201 +
8133 -55381 -
33791 82721 -
24077 85649 +
37728 26204 +
1037 42869 -
46933 -98319 -
37033 -47145 +
51602 88654 -
36250 -44865 +
16103 -96505 -
50689 10349 +
54023 84257 -
26638 -31963 +
10316 20761 -
27230 -48052 -
3942 86980 -
9122 -89826 -
34762 1914 +
42472 -62985 +
26131 -83072 +
42018 -23436 -
6417 -29254 +
33083 38594 -
44622 -36740 -
37119 -63400 +
3783 75735 -
27131 -38438 +
49519 -80683 +
6448 -11622 -
34792 -39865 -
7758 -22591 -
27776 -49069 -
48397 -5568 -
29123 3675 +
2400 51596 -
3895 24982 -
45198 35085 -
54514 38584 +
40501 -74587 -
4672 -41641 +
7811 64279 +
45940 72984 +
22698 -18810 +
53760 72551 +
46230 35621 -
43159 81301 +
54377 -57842 +
50954 39243 +
52180 89942 +
5761 37239 +
49735 28218 +
46894 77583 +
54728 335 -
24107 -33658 -
49842 89152 +
54929 -36454 +
11420 -37801 -
8787 85127 +
51004 -12794 -
6852 97557 +
53325 8876 +
43413 45235 -
56442 -39868 +
23878 88786 +
924 -49793 -
44098 4164 +
3975 -4018 -
8616 -71447 -
688 23167 -
56176 34247 +
35768 -72230 +
20757 42861 -
51112 62062 -
47712 86116 +
16356 -86209 +
46030 81088 +
29868 -68301 -
26517 -58667 +
54036 -94412 +
14873 14405 -
11803 -83689 +
2000 23153 +
50961 85534 +
54828 58667 -
54097 66066 -
23396 83111 +
22336 31491 -
11396 55905 +
12983 -59154 -
17964 -31050 +
43677 32567 +
9032 71359 -
20676 -1196 +
52585 79937 +
6542 -73522 +
31956 -88941 +
12215 11209 +
49558 53643 +
15804 95152 +
51243 -28668 +
31853 75390 -
4395 80402 +
8485 15971 +
17096 -70025 -
18692 -82212 -
15808 99451 -
9018 267 -
47479 -82181 -
50171 97873 +
12851 15 +
48330 -26905 -
34785 31437 -
24365 -76033 +
39648 30272 +
1879 17634 +
21939 90400 +
37376 -56439 +
21134 -60837 -
5587 -19568 +
27848 -97075 +
41426 81045 -
21842 26529 +
54731 -89089 +
46783 611 +
50329 -59731 +
23900 -83344 -
11337 -11983 +
18628 66952 -
13073 -11085 +
7210 -81648 +
38308 -62102 -
44720 89764 +
28844 -36298 +
7567 56408 +
55065 -68806 -
47428 46078 -
15439 -38177 +
37654 58227 +
47581 -47942 +
43494 46239 -
51491 -94135 +
35814 -81865 -
45549 -84270 +
1497 11370 +
45740 -64573 -
24117 66102 -
5398 -13294 -
10491 1192 -
45475 37038 -
33278 -31397 -
53802 6803 +
32471 16791 +
1623 -19158 -
34277 -10542 +
16590 60202 -
7894 -79383 -
24513 -78380 -
41253 78858 -
10695 -14909 -
5437 41787 -
41224 -90924 +
23598 -87676 +
27831 31980 +
45508 -50920 +
53961 -15422 +
5313 8137 -
45372 -23086 +
5627 48468 +
30956 -66260 -
25739 94832 -
30681 11671 +
53190 -8803 -
28002 25878 -
17105 6527 +
35131 -35511 -
49665 -42389 +
34455 7877 -
13273 83374 +
31959 79164 -
39976 86661 +
46959 12169 -
3376 28241 -
7015 -49450 +
38435 85590 -
41203 34198 -
25129 15533 -
8570 68170 +
28310 -54972 -
16540 -99047 -
47490 43631 +
23453 44812 +
54879 55459 +
18334 37208 -
6199 97652 +
30436 68539 +
41834 13633 +
7256 -36626 +
14050 -23267 -
17573 -19967 -
8530 -58942 -
11761 -90657 -
47200 60855 +
43492 -81006 -
10591 -39777 +
37496 34067 -
20119 -980 +
25063 33459 +
4754 -40982 +
1487 -39988 +
42565 21825 +
48201 12347 +
9865 2868 +
11884 65988 -
23569 -85326 -
3516 19519 -
46301 -7647 -
47623 -87743 -
51273 20207 +
15555 32543 +
21503 38532 -
43822 -20514 -
10448 83557 +
35246 -7996 -
48716 -92314 +
19882 -25888 -
439 -35321 +
25376 -40378 -
3808 -75268 -
22359 -86557 -
52812 -20466 -
17892 88344 -
10408 20371 -
54077 54480 -
12115 72007 -
34899 29312 -
19468 98282 +
13149 -66565 +
52424 85808 -
17396 67277 -
49588 -89986 -
30794 4636 -
28721 84057 +
24808 71043 +
30616 -76141 +
17803 24324 -
3125 -37880 -
47252 -21120 -
13471 -70838 +
16464 62971 -
49837 28996 -
55575 9762 -
29634 -75334 +
39476 -56680 +
18689 -35417 +
56115 79112 -
7131 -50811 +
39923 -13606 +
45418 621 +
53639 -3536 +
25961 -84044 -
24391 80431 -
50086 -61757 +
35655 52590 +
44303 -72930 +
3731 4485 -
44425 43825 -
1669 -88662 +
9818 7066 -
41044 48634 +
22379 36610 +
12043 -29037 -
31417 -93611 -
33816 77444 -
54971 -33677 -
45825 53513 -
29652 -60887 -
22732 84625 -
24643 -87016 -
30849 56753 +
33696 609 +
25807 1016 -
40364 -23318 -
25558 -2586 +
18940 -97231 +
32405 90624 -
27987 65063 -
9270 -14325 -
51938 28001 +
27112 40975 +
10141 -85686 -
7458 5434 -
35238 -8742 -
6109 76483 -
35920 99442 -
36058 41719 -
47208 -93731 -
4736 -31384 -
55548 40047 -
10044 44724 +
17075 -4034 -
2624 -30393 -
49107 54347 +
9788 -89066 +
27100 -94121 +
32884 -9273 -
6880 -3825 -
50926 -20784 -
44808 22502 +
13328 71956 -
26222 60895 -
54002 -75116 +
7418 -14713 +
9111 -37135 -
33850 -92407 +
48096 -74565 +
43952 -41220 +
30993 30980 -
44626 -16408 -
50416 64823 -
21345 -5456 -
65470 662
32097 -91595 -
65283 -12171 -
23752 -80806 -
19623 5878 +
15784 5617 +
8968 -30446 -
25511 27894 +
54348 -69168 -
6213 -70240 +
6142 -9021 -
38224 78177 +
60169 51767 +
39418 -49716 -
15880 -70613 -
15332 62726 -
32143 -45551 -
5699 -17031 -
63393 -21544 -
12500 37975 -
31367 11032 +
58438 74418 -
15734 -42138 -
22801 16330 +
21157 -33803 +
9014 37587 -
42826 -2536 -
11720 27641 -
65324 23040 -
57050 -93552 -
40734 71075 +
42365 -94623 +
10167 -55526 +
39946 -56340 +
33982 13672 -
39336 34209 +
29205 60165 -
51863 -54175 +
34056 72083 -
58314 24313 +
39853 62847 +
1730 -99698 -
50816 56419 +
32912 -8916 +
5210 82024 +
54620 92987 -
44199 -25339 -
20369 76126 -
17751 -38028 +
23066 -34471 +
21187 31188 +
31083 -16347 +
12299 31719 -
58386 -70707 -
6012 38376 -
61479 -17040 -
7220 23742 +
30421 -23691 +
1673 -96518 -
55723 -76738 +
30596 13601 -
41976 40149 -
15211 -13396 +
22272 -28568 +
46776 60827 +
44326 61175 +
29592 -3749 -
31877 90135 +
39910 62032 -
62674 2747 +
19931 34781 +
9230 -59799 -
51393 5780 -
29670 62477 -
58664 -31371 -
51586 6904 +
26118 37084 -
12572 -9725 +
3205 11805 -
7404 69729 +
9632 -22847 -
64511 15645 -
56268 -3616 +
59903 -19653 +
34472 -6970 -
42891 8349 +
10789 -1252 -
57362 -10783 +
63694 -59869 +
23372 -57070 +
41935 -42629 -
63453 33652 -
60082 18158 -
22230 83224 +
29768 16182 +
39955 -60829 +
43912 -76303 +
31419 32691 +
51588 63282 -
35309 -18292 +
19782 15612 -
51005 78935 +
23707 78815 -
59123 84992 +
47804 -86349 -
8289 41857 +
7214 -96976 -
40798 -86470 +
20202 -67965 -
8776 -72410 +
7988 -29350 -
45929 -10632 -
59249 45888 +
29524 -31683 +
19136 41650 +
50365 -25226 -
13844 48886 +
17894 24173 +
48162 -1316 -
26326 50687 +
21184 16677 +
6968 -89952 +
60297 -31519 -
8053 -47824 -
21101 49656 +
65394 -8791 -
45174 45143 +
56038 32389 +
49685 -63608 +
61824 90722 -
30334 81706 +
9336 47850 -
51505 38996 -
21277 65873 +
40062 -53577 +
24931 -94198 +
18542 -38703 +
11717 68589 +
55288 11374 -
63788 52033 +
58351 -73813 +
15500 -3549 -
54428 37637 +
33769 74413 +
20799 96961 +
11078 -42938 +
42427 42463 -
42152 -58745 +
51955 -36771 +
17851 -99544 +
63259 -31935 -
11890 95897 -
41908 7087 -
56352 -71357 -
43226 -26830 -
29833 98297 +
2064 -58605 +
24819 89747 -
12626 -33620 +
23225 19147 +
31924 -96670 +
3585 -33072 +
54175 2737 +
11462 -86407 +
14692 -37821 +
34917 54502 -
48426 40016 +
9035 90302 +
39821 18054 -
58610 -59259 -
48509 -35441 +
58845 -81096 -
12775 -72477 -
62919 -66667 -
52857 75951 -
7529 -82193 +
35881 24000 -
48362 26738 -
12121 -44066 -
47279 28676 +
54845 -38229 +
6668 -18034 +
10592 65266 +
37784 -89795 +
12720 5190 -
48923 -81030 +
49944 -43570 +
41892 -70128 +
15289 94550 -
9774 -74885 +
7210 -19929 -
31473 -39059 +
54978 25347 +
51712 656 +
43643 27865 -
18454 79381 +
33626 -51604 -
9881 -94418 +
20411 28006 -
57033 36220 +
47285 -66431 -
16001 3620 -
22470 36789 +
63898 -59296 +
29483 -67387 +
35276 -36720 +
54563 -11558 -
3767 -63158 -
17740 86989 +
26096 -90901 +
58045 -61319 +
1559 48837 -
31485 37588 +
44944 67416 +
34549 -69904 -
64505 -89196 +
468 89688 +
5484 23800 -
31634 67144 +
38637 28389 +
5621 40848 +
59500 -7796 -
35067 -33495 -
39108 24875 -
29251 -34254 -
6393 23115 -
31372 10240 -
31851 -63995 -
56533 97234 -
6072 -24934 +
57521 4629 +
23826 29174 +
45929 -92717 +
29811 26179 -
30506 -25576 +
45245 -25755 +
4421 15502 -
4370 12644 +
21949 -61627 +
23196 74942 +
55921 -46139 +
21686 37835 -
46904 68799 -
18146 -84280 -
61342 -72507 +
1944 -86172 +
15264 6905 -
19430 10667 +
31408 91253 -
51497 -57591 -
21966 55410 +
46500 24089 +
56621 -99977 +
9863 -45261 +
14662 67019 -
43864 -7145 -
33629 75570 +
42886 60940 -
47221 -60072 +
29799 -86081 +
45658 86464 +
20634 -79717 -
588 56436 +
64723 45390 +
57315 70512 +
43522 75720 +
21463 45972 -
57093 -22065 +
9941 -22649 +
30563 -27574 -
4240 57521 -
35420 -48430 -
62151 69494 +
32635 96529 +
57604 32160 +
49191 45910 -
60515 99894 +
32763 -93516 -
52323 90615 +
49143 -48201 -
11164 -340 -
21521 -12093 -
37878 34784 -
25076 49798 +
60708 69703 +
32322 21152 +
31099 -29746 -
2648 7221 -
20592 79647 -
45989 -26135 -
54621 -36753 +
24058 -63138 +
10459 61787 +
51369 56588 +
40265 -66243 -
63078 74756 -
35121 5188 +
45557 -94180 +
1575 -48691 +
36773 -37546 +
10310 -44431 +
43141 97545 +
52070 -30 -
31497 -20828 -
37259 -733 -
28932 90265 +
18479 -71629 +
58336 32148 -
6995 -1041 +
44831 88061 +
8695 -45095 -
59599 -77150 -
29722 42474 +
62908 -97473 -
57434 -59681 -
19859 -84857 +
53408 72726 +
35183 7928 +
7596 -30455 -
13547 -507 -
53792 -17867 +
46959 -84066 +
52774 -9929 -
24459 -38613 +
14589 7434 +
42698 -74799 +
13155 92029 +
40610 6920 +
23334 -87259 +
45631 -55392 +
16096 -51405 +
26284 67577 -
57770 88605 -
58101 74805 -
9790 -18884 +
33564 51839 +
23404 2886 -
32272 38850 +
43100 -74297 -
2874 52810 -
14890 -84017 -
28721 -86485 +
29139 55751 +
10952 38653 -
21667 99311 +
52330 81999 +
1184 8396 +
46487 50448 +
54922 26268 +
54472 44379 +
42530 -93564 -
63025 -96252 +
63914 -37560 +
13857 99617 +
58979 -10587 -
39743 90381 -
40043 89350 +
24218 -20260 -
36295 -16384 -
37783 -31060 +
19071 71411 -
16675 99853 -
19136 -91678 +
35254 36533 +
37403 18939 +
57010 48800 +
62954 58556 -
41973 77678 -
1477 43924 +
27697 38862 +
42296 98475 -
38092 -69979 +
55755 -97032 -
13837 -80828 -
60716 -87318 -
60558 -4526 +
48946 74861 +
24820 -32099 -
738 -39272 -
56507 27995 +
13585 51666 -
47161 92585 +
40286 36911 -
65330 6094 +
60677 -59059 +
11339 -22609 -
52742 -16092 -
3541 -98427 +
8647 -71071 -
25078 -21427 -
7270 -17305 -
65010 71124 -
54774 -10257 +
58456 -85784 +
33758 -88840 -
22937 -16434 +
49792 -24350 -
20116 20378 +
18882 -53788 -
40218 -61874 -
12874 16139 +
43489 -88220 +
52382 37729 +
36882 -46899 +
22944 -40374 -
34353 18506 -
22065 -9776 -
35615 -66686 +
26824 -95561 +
25102 10815 +
16224 -23127 -
62869 -46040 +
44083 -36938 -
30394 -61487 -
31412 -22343 -
53853 -49222 -
37967 21159 +
37572 -64152 -
47646 74243 -
15146 -56468 +
50506 14949 -
8477 -88859 +
61313 -66572 -
27663 -58614 -
59256 -11673 -
31387 -45221 -
2848 -20010 +
29985 35385 -
45899 87797 -
32758 -27083 +
19812 -30517 -
59619 65391 +
21569 -87983 +
18717 -72649 -
17255 -72258 +
56061 30478 +
33571 18073 -
59814 -85469 +
41103 30552 +
516 92864 -
62660 29038 +
52353 88009 +
62754 2162 -
28872 -73007 -
30862 -76346 -
35450 -63940 +
61407 -32770 +
43880 17607 -
