17
76504 734
1709 -80795 -
26149 -29035 +
75435 21867 +
12302 -81734 +
72359 -56339 -
33930 33748 -
49067 61837 -
8005 -83792 +
37014 -74714 -
43522 79085 -
40565 -31067 -
53859 -14964 -
55191 97338 -
57027 -74528 -
45084 25286 +
6370 -33427 -
29740 -32525 -
21568 46974 +
75930 -14912 +
14927 11815 -
6860 -8116 +
37544 -64111 -
30256 -42105 -
13313 -9121 -
1800 -70762 +
25563 -85225 -
11569 79138 +
44388 -36600 +
6250 45017 +
63917 8691 +
74651 -90815 +
12279 -48168 +
49607 -9190 +
20308 -91870 -
71248 -97150 -
57569 12024 +
9850 9203 +
29031 -7560 +
25117 -42541 -
33817 98841 +
19790 81239 -
25267 -96819 +
2311 87006 +
59845 25900 -
3722 -54708 +
24245 -88356 -
6057 45090 +
1845 -15721 -
23481 11344 -
70983 -65032 +
33629 9687 +
7085 -130 -
24468 -34915 +
7828 22639 -
20807 2857 -
19405 -8196 +
16298 -25925 +
49594 -74346 +
42856 -6216 +
48443 25151 -
15 -48188 -
47420 -72308 +
51746 22351 +
71902 498 +
24740 93762 +
70782 11554 +
8506 -25605 -
65010 -61424 -
49974 -6648 +
8489 -68849 +
46992 -58516 -
2571 57404 +
70854 -38596 +
23842 9734 +
10931 -53093 -
3654 45568 -
60314 29008 +
3423 88604 +
44697 -47705 -
4889 -34876 +
29445 75861 +
54031 -73349 -
66875 27225 -
61949 1072 -
3284 48059 -
36325 21794 -
27140 26801 -
30187 50438 -
59761 -32122 +
50469 44756 +
33440 -70781 +
71455 -72025 -
35539 11471 -
60059 -8632 -
479 84667 +
2039 74734 +
69899 -36042 +
4095 29740 +
49635 72783 -
15588 -89504 -
33127 -6381 -
49861 21698 -
65628 24722 +
47227 -80466 +
62586 -13856 -
48673 53895 +
3587 26422 -
25079 -76580 -
69854 -90346 +
46372 98503 +
16819 -98285 -
68407 77218 -
33744 24113 -
44042 -26070 +
16675 -23362 -
34812 35925 -
36786 51498 +
70202 65315 -
22767 13474 +
40515 -20962 -
12406 -8073 -
37522 71349 +
74289 96650 +
65224 -84501 +
64031 82770 +
50847 65563 -
32492 77675 -
57582 53267 -
1164 -41427 +
6449 40686 +
5581 -86269 -
34706 -12034 +
57252 -18436 +
58966 14595 -
46344 -23605 -
7522 16176 +
27302 3349 -
29155 -99858 -
17130 -78511 +
4454 -43134 -
9501 -58541 -
42548 -12509 -
45863 -93729 +
47435 -93002 -
15586 63009 +
49837 -7714 -
19850 36043 +
29435 -26924 -
74243 -84856 -
32356 76203 +
5187 78484 +
48742 -4534 -
63853 20371 +
5853 15011 -
49367 90591 +
50364 13534 -
13501 -10446 -
47496 -93203 +
28703 -87937 -
38940 43080 +
33023 -70394 +
21863 23755 +
13418 -85142 -
4504 99221 -
57488 -48858 +
74945 24687 -
44940 -94177 +
39553 -41011 -
53204 29567 +
147 77634 +
12625 71246 +
46261 -27903 +
7827 67707 -
53378 -23928 -
49285 -79163 +
44166 33820 -
55379 82530 -
49081 88821 +
55110 -89607 +
11330 -46356 -
20139 -21217 -
67849 23513 +
70846 41803 +
25789 97131 +
43475 67132 +
1840 15786 +
52674 88778 +
19896 91181 -
73153 20536 +
9053 27686 +
60767 -31442 +
37678 -35193 +
31588 60585 -
19628 -23756 +
12026 -62338 -
39634 -85369 -
75797 -34891 -
46488 -48322 +
17872 -49845 +
25498 -67360 +
39964 -18230 -
35781 97325 +
57048 -67422 -
73580 25222 -
20349 45510 +
56154 58087 -
8218 76210 -
12627 99342 -
16173 -70677 +
52399 51606 +
31513 86986 +
46259 64214 -
45820 92994 -
60031 -89640 -
8337 45593 -
39960 23553 -
9168 -86094 -
5507 31535 -
50800 99375 -
46365 -49045 -
47826 -55559 +
17785 22647 +
22057 61672 +
72605 -61353 -
59545 -4166 -
4011 88854 -
31728 55434 -
12462 26833 +
38352 58598 +
22243 66720 -
20925 58403 +
63845 31232 +
42351 64064 +
24310 38754 +
33415 55102 -
73945 -82447 +
39098 6426 +
71945 54963 -
47425 26042 +
34465 19736 +
9188 -48064 -
27515 -88057 -
73216 -38407 +
16347 43855 -
64101 -18511 -
28418 18414 -
3054 72754 +
9622 45506 +
254 14302 -
17922 58731 -
23500 -88981 -
43087 -44180 -
21983 13070 +
31581 -42557 +
37654 73140 +
61376 52414 +
52511 65350 -
53091 62191 +
74852 60275 +
68000 31140 -
16033 52849 -
21012 -48757 +
34015 29559 +
61269 34691 -
19851 16770 +
11261 8620 -
49920 -99843 +
49029 93781 +
42104 13913 -
54533 -73199 -
68635 33339 -
76052 -80706 +
29191 34951 +
22637 953
15713 -81909 +
14570 -59150 +
12336 -90341 +
10433 -92282 -
4298 6270 +
3484 26130 +
17151 77309 +
7387 -65200 -
7227 -39672 -
3344 -67789 +
7268 -31883 -
21152 -24698 +
22462 -21885 -
6313 -83768 +
12557 60033 -
16831 -80773 +
19581 -31285 +
12046 -73812 +
12651 891 -
12450 34182 +
10421 -39577 +
8424 -69959 -
6244 -70456 +
15861 -36751 +
19992 14642 -
22036 47598 -
13262 -94262 +
4515 -68465 +
8778 94034 -
13740 -12047 -
14465 -87661 -
17671 -47154 +
5974 69590 -
1344 -86141 -
5872 21921 -
19078 -40399 +
12059 -89788 +
13627 -59382 -
1105 65606 +
19009 -23900 +
6733 42967 +
7814 -97039 +
9964 -94068 -
3278 68272 -
9314 -99706 -
15760 -93808 +
5142 44473 -
8336 -73404 -
17627 -35863 +
9423 -24373 +
19909 79915 -
13317 -7498 +
10804 -74025 +
6652 46517 +
19693 -90347 +
9775 30291 +
20325 65434 -
2841 15981 +
3259 -76012 -
9447 80018 -
10613 16607 +
15944 51198 +
2784 36854 +
9513 -99574 +
9396 -66394 -
15814 -33888 -
1354 58769 +
8559 17965 -
11978 -82049 -
21176 -87574 -
739 -12695 -
4859 32330 -
7363 -43044 -
16033 15966 +
8769 -48425 +
17255 -96916 +
3987 -40150 +
406 -70772 +
19424 -89314 -
10835 -83819 -
9981 52237 +
11155 46424 -
8327 75185 -
10792 96342 -
22021 10510 -
9038 -25559 -
3885 -79876 -
3996 -38153 +
11138 -35083 +
4047 94663 -
16436 57354 +
478 -37316 -
4999 20513 +
4377 29269 -
4149 -49144 +
8195 46996 -
17374 60415 -
20956 -45820 -
15319 -22674 +
17481 76599 -
22605 3045 +
13454 40717 -
13359 -3516 -
7233 51012 -
22256 -51919 -
17002 -14914 -
5398 -25652 +
10397 -64553 +
18586 75706 -
19587 850 +
11880 90468 +
12235 -6583 -
18460 -51238 +
10871 28807 +
16418 -26007 -
16141 -80110 -
13798 -39394 +
2672 -58360 +
15915 2637 -
12057 85815 -
468 -8548 +
305 -25898 -
10352 -17381 +
7776 19539 -
2501 17820 +
12009 13679 -
10560 -70352 -
10585 -69549 -
12913 -89515 -
7844 -22668 -
2698 -99661 -
13002 -77182 +
12874 57791 -
15050 70944 +
19612 85978 -
2423 1725 -
21014 -29842 +
7364 63576 -
7758 -82481 +
8232 -49474 +
8310 23093 +
996 89681 -
8562 72020 -
11635 59995 -
13668 21480 -
57 26895 -
16789 -37696 -
3965 21993 +
3042 -86788 -
21514 63612 +
14230 45237 -
1236 -33980 -
17204 -76216 -
1428 74261 -
22014 -19996 +
8954 47939 +
17141 -99512 +
7344 40114 -
18324 14505 +
1349 64640 -
12717 10422 +
5897 -2906 +
13891 84820 +
4456 -79635 +
2351 -59209 -
18857 1151 -
15611 -4015 -
18539 -91922 +
1783 -24480 +
292 -58477 -
22610 -80884 +
7880 87668 +
4687 -6013 +
7130 59631 -
3439 -60791 -
10602 61506 +
6467 35291 +
10622 -98423 +
9178 -97711 -
15337 -85255 +
10401 -76799 +
992 8665 -
10656 -96738 -
12798 -72428 -
14754 -3742 +
19512 -33547 -
5180 -35651 +
18324 79176 -
8228 -5986 -
16091 -86444 -
17737 -20961 +
8191 -36327 -
11865 -60557 +
11900 -15980 -
10303 46584 -
16459 -73743 +
6844 -15565 -
20222 12828 +
18207 65202 -
16063 24089 +
15140 -47303 +
17642 46791 -
10788 87543 +
8000 -98223 -
17230 54638 +
12805 -97807 +
2448 63384 -
3461 71012 -
13360 80070 +
3103 51137 -
3077 22380 -
16989 -38255 +
21802 36227 -
8833 -50676 +
4946 -87156 -
15844 72717 -
9085 92502 +
8809 82549 -
5744 13931 -
14323 51564 -
19371 -77201 -
12090 -56754 +
15150 -92867 +
7508 44254 -
16163 -47130 +
18198 -32691 +
285 -91045 -
3846 77674 +
6518 -44840 +
19364 70598 +
16931 65339 -
6641 29889 +
11154 -59576 +
20824 59258 -
15406 -28927 +
11431 -16394 +
17380 91669 +
14605 -61047 +
19741 56351 -
3594 -46566 +
5353 -3507 +
11417 20384 -
11190 48715 +
600 78886 -
6195 -43836 -
12598 87739 -
18023 93677 -
18579 35320 -
3706 -21233 -
7682 -99395 -
10549 -30164 -
10040 -59678 +
9880 -54853 -
14896 89315 +
1546 62715 -
11029 -65611 +
21875 -73883 -
772 -67013 -
8533 29709 -
10006 77254 -
1532 87574 +
14128 19307 -
12256 35267 -
16458 69238 -
457 -38064 -
14123 93620 -
19621 44527 -
9121 86332 +
4155 -43623 -
16257 -31662 -
16566 -22997 -
4334 -29498 -
5292 -62377 +
15831 -62372 -
19494 80833 +
15151 80769 +
19500 -40040 +
19585 -80985 +
11060 -20565 +
18564 9570 -
9457 64709 -
20814 -15694 -
34 3068 +
2059 56169 +
1397 -40773 -
10198 42181 -
1245 -7163 -
5781 84616 +
5707 -61713 -
8367 -26763 -
1775 -82758 +
12407 83141 -
20 36821 -
22 73474 +
3874 -47814 +
19963 -90744 -
22217 26623 +
22634 -79684 -
2994 70321 -
12325 954 +
13764 -95583 +
8394 21757 -
2117 -45478 +
11473 81334 -
20406 -43981 -
21293 -22860 -
763 -6390 +
21893 -75782 +
14470 71438 +
10268 88513 +
17981 -33439 +
4179 -33409 +
5956 11376 -
13915 -36838 -
16674 -32585 +
13096 -38011 -
16452 62326 -
14195 18722 -
16481 44778 -
3232 25677 +
8022 -46089 +
16463 -13814 +
12463 99431 +
1242 -53881 +
6671 -87458 +
17460 -46899 +
9477 -16371 -
11086 -41390 +
16374 59860 +
16358 22384 +
1717 61136 +
11967 33196 +
14322 2843 +
10888 63656 -
4671 34016 -
18180 6151 +
7968 12939 +
19656 46009 -
5463 -106 -
1950 -35916 +
17285 -641 -
13865 -66771 +
21249 38618 +
9281 -99120 -
11584 -46794 +
15290 -61295 -
2764 52439 -
21052 37043 +
11390 -27959 +
4787 60512 +
13212 -15715 -
21714 27564 +
10259 57843 +
579 -64532 +
8032 -95788 -
18167 19731 -
15405 -14196 +
19674 38087 -
19249 30627 +
15151 -74533 +
6978 -2389 +
8035 -57342 -
22403 -80249 -
2903 -89273 -
2261 23204 -
3058 -60886 +
17451 99046 +
2222 -93259 +
15124 -73721 +
12444 -84264 +
6430 -98015 -
20930 11110 -
6915 25318 -
10627 364 -
486 46469 -
22093 -59496 +
2871 -21710 -
14468 66654 -
9915 38329 -
16790 99839 -
12327 23607 +
15300 14283 +
8209 -98069 -
8805 76847 +
22162 -59937 +
12095 9981 +
7538 -60333 -
1807 -43571 -
18116 79291 -
17720 93092 -
16872 89605 +
4914 21329 +
21105 27125 +
11324 -31332 -
17819 40168 +
22156 15001 -
19437 -69419 +
4354 647 +
1877 -21205 +
528 44500 -
13446 -649 -
19228 -3956 -
21627 82989 +
11171 63402 +
10445 -74876 +
8887 64239 +
21218 22818 +
18433 12933 +
6511 -45325 +
10706 24921 -
14686 82577 -
5610 -979 +
8866 51764 +
8345 -1090 +
1388 2845 -
233 -85126 +
17461 19292 +
1973 -82707 +
3627 -80343 +
16252 -93411 -
13627 54553 +
13139 1932 +
14996 -84833 +
19687 74511 -
11122 -74415 +
1429 -35207 +
2370 -84689 +
10084 -20912 +
15865 -77321 +
20070 76863 +
3524 26137 +
2215 -44302 +
1103 -31880 +
4817 -55640 -
1274 -51690 -
3745 -12825 -
5829 76552 -
12071 -7475 +
2287 -17436 -
13037 5152 -
10045 13454 +
21053 -8487 -
2787 86089 +
16632 -73201 -
17145 -46961 +
11291 3408 -
2431 -65229 -
4223 -64863 -
19975 -78179 +
12970 56643 +
3779 95329 +
11950 -3854 -
16484 -62648 -
1415 -74529 -
15796 28268 -
17504 34680 +
8587 -74890 -
21145 -58418 +
20333 -73902 -
14404 87056 +
15014 -48274 +
1555 -57494 -
3079 99623 +
6137 -21125 +
17161 -71959 +
8615 63285 +
5635 -27558 +
10327 81758 +
933 -41124 -
12915 82662 +
18797 -873 +
20467 -80531 +
13103 -42320 +
5144 19427 -
3499 -82598 -
16116 -72396 -
188 -76267 -
2988 536 -
18498 -3382 +
20838 -52865 +
13518 43657 +
6175 -91312 -
8762 68364 +
17576 74526 +
8737 -34144 -
4105 -46506 -
14057 11672 +
18590 -4800 -
18129 -57977 +
11666 -41780 +
5234 -61360 +
7183 -5095 -
8866 -47367 +
1366 -71385 -
10234 46459 +
5149 -44593 +
18433 -88684 +
5905 -35509 +
10859 -16702 +
2205 81930 +
14513 -16173 +
18912 91421 +
5669 25925 -
10847 -35819 -
6627 -36124 -
18938 -29275 +
5171 21198 -
3781 -70422 -
3840 67702 -
19062 64841 -
8858 -7508 -
4 -34750 +
13944 7922 +
19953 982 +
17501 -57224 +
22515 -59351 -
4083 -13876 +
7480 76753 +
12038 -89309 +
13474 5365 -
4119 -72304 -
19087 51406 -
13678 -18931 +
5783 59884 -
11774 7781 -
11159 -69282 +
3578 70177 +
1930 -87000 -
9336 16985 +
12137 -37298 -
7484 42500 +
11008 -78327 +
21469 -87074 +
16231 16194 +
4879 57755 -
20629 62507 -
6358 87792 +
5577 55743 +
21393 76852 -
18515 -24504 -
21440 46566 +
16030 44447 +
10381 -63481 +
11283 -44479 +
9526 -66229 -
9345 45569 -
13723 42574 +
19921 -46434 +
8571 -53609 -
7108 -30237 +
3813 -51864 -
2058 72980 +
12356 37943 +
1419 82834 -
8596 24256 +
18405 -77518 +
21644 -7434 +
17166 -86420 -
15743 -87949 -
22178 -61057 +
687 -96983 +
10615 -63979 -
12446 67748 -
14143 -30538 +
14350 -52392 +
19710 -51533 +
15207 -41708 +
11664 16469 +
21180 -71536 +
9521 28072 -
10415 -52825 -
16345 75956 -
4147 91542 +
3438 -76451 -
14739 -82441 +
10711 80344 +
6414 1628 -
17863 29124 +
2447 -31599 -
22621 -55659 -
3115 52648 +
5898 62873 +
6184 72509 -
11465 38060 +
11693 12180 +
7443 -44859 +
10142 41337 -
10466 -85889 -
7688 10906 -
13464 -44532 -
11139 50634 +
11845 -7699 +
12398 1370 +
19181 -57052 -
13931 -34589 -
20004 39843 -
15143 -22168 +
20292 -45728 -
21080 41642 +
19398 38502 +
10516 71178 -
5088 -18995 -
1171 44980 +
17830 26320 -
10711 46227 -
10613 -94321 +
12236 -62316 -
16944 -95489 -
7319 75496 +
5082 8232 -
16053 -97927 -
14443 20814 -
17034 66394 +
898 1003 -
439 -44939 -
11620 -21940 +
12214 -57167 -
1385 1236 -
11453 -14924 +
17562 -26475 -
3480 44784 -
6677 -94280 +
7320 91491 +
17081 33144 +
18543 86261 +
19526 -33086 +
2263 -95579 -
17267 57871 +
6116 40277 +
17460 -87138 -
21983 -2545 +
9531 -15570 -
9459 10546 -
3484 -80970 -
1534 18809 -
11629 -2642 +
1953 44098 +
6933 -65901 -
8509 -48605 +
16060 11598 -
15289 40864 +
17252 -43258 +
2076 92307 +
636 -16556 -
7797 19391 -
5055 -30326 -
11156 -91719 +
20416 -374 +
13577 -56538 +
3219 89535 -
1671 -47948 +
11864 -44381 +
14477 -39502 +
15214 66017 -
2344 69036 +
17807 41755 -
16610 -59312 -
12604 58603 -
18511 -18787 -
12196 4725 +
7341 6749 -
14689 53490 +
1267 -64014 +
2793 87623 -
173 -28599 +
2940 80052 -
9703 8114 +
11134 -17598 +
4649 53722 -
13936 91269 +
3459 67305 +
1736 92623 -
18092 8341 -
4112 33240 -
12559 -90108 -
18044 -10009 -
1032 -74122 +
11550 7454 +
13324 -815 +
7710 -2244 +
4762 5824 +
13271 -4997 +
13119 -29261 +
14764 -64121 +
12055 -92855 +
575 74976 -
18376 -89731 +
12235 -86206 -
1027 62517 -
5658 -77087 +
14669 -31510 -
13303 53965 -
10596 4768 +
13858 -40337 +
241 3850 -
18641 -78615 -
17164 -54695 +
7082 19817 -
14684 72574 +
4382 3902 +
12089 -86592 -
14826 15322 -
4016 -93091 +
17320 -25550 +
7828 -49766 -
12736 49245 -
22281 80167 -
20003 67393 -
11780 -55054 -
2825 -64111 -
5009 12927 +
14930 73000 -
10030 54927 +
1629 -28948 +
11828 -76039 +
18859 -5391 -
11989 -89129 -
43 -49906 +
12667 45360 -
14086 74139 +
17406 88466 +
20736 51634 +
16009 25288 +
21166 98659 +
9355 52897 +
14732 -46248 +
20804 -4870 -
21945 9637 +
13640 -9328 -
1039 -60317 +
14320 29087 +
7867 12102 -
2613 -91391 -
22358 -3501 -
5066 -80531 -
2738 -52019 -
949 -8197 +
9850 -69293 +
15957 -83220 -
9328 89602 +
17924 93209 -
10840 -31863 -
18667 41721 +
6774 -61621 +
928 57430 -
16007 -57694 -
22452 59928 +
16301 -10952 +
14567 -161 +
2600 -92324 +
6809 -83088 +
22092 11845 -
7770 -63830 -
777 41942 +
22164 44801 +
11508 31137 +
10930 93465 -
7842 4451 -
16293 -38453 -
214 -34511 -
1252 20975 +
6625 -87285 +
19944 92764 +
7052 -44821 -
14888 78895 -
5416 47246 -
3133 72300 +
145 -22983 -
4192 23533 -
5131 -17821 -
5080 96349 +
22083 -3026 -
2124 14255 +
16333 82415 +
7134 -36740 +
6619 -49656 +
3789 3795 -
15011 60725 -
13816 -37080 -
22606 96570 +
8942 75710 -
13979 46359 -
4585 -23841 +
5223 11468 -
2219 92470 +
8015 -36965 -
15802 42485 -
16270 -96182 -
18482 -20625 +
12707 38307 -
20702 45075 +
20598 80522 +
8452 -17378 -
14452 35237 -
16419 67035 +
11787 -53265 +
15895 -95004 +
20139 -34851 +
12526 -88013 -
8238 79273 -
20371 -80999 -
17627 21813 +
21107 40988 +
2158 609 -
16018 49188 +
4473 -67051 +
3695 -72126 -
4440 -59306 +
19430 31894 -
19487 34774 +
21992 -15788 +
19428 -15866 +
3830 10110 -
16953 -40377 -
17642 -64825 +
21675 87366 +
18843 -33394 -
4571 -21322 +
14987 37698 -
18858 98655 +
7844 -17753 -
15056 78611 -
21489 -80728 -
10090 -75174 +
5951 -37076 -
13585 88116 -
21834 46049 -
18279 -35588 -
20488 91824 +
1226 -67153 +
7166 91320 +
7101 -80453 -
16733 64689 -
10579 -37508 -
8975 -15041 +
7379 52729 -
20595 96045 -
7358 -18196 +
17124 -10977 +
10298 -94043 +
14034 59997 +
18605 -72998 -
6548 -40730 +
1759 -61364 +
6182 -41530 +
6023 -78382 +
18388 -3783 -
19376 24659 -
15024 -91203 -
9329 22576 +
19696 51253 -
10309 -54617 +
16434 -5794 +
17587 44796 -
18472 -5163 -
8994 -5465 +
200 36375 -
11865 93741 -
21574 75498 -
8239 63227 -
6405 -54232 -
6244 19470 -
21494 -4914 -
1949 -24532 -
20414 -80485 -
5790 -77540 +
3818 80515 -
4515 99971 -
7319 3774 -
14711 89203 -
6961 -9025 -
21765 -3601 +
10002 74320 +
22054 -35378 +
17508 7514 -
5894 29932 +
2821 86446 -
18294 87007 +
5001 -29131 -
21030 -96064 -
5393 -68833 -
12737 -50574 -
7592 61804 -
4004 -17694 +
1114 -91381 +
18898 -90157 -
7183 -57267 -
10706 -48057 +
14425 81049 -
13431 -53841 +
17583 -27044 +
8831 -62710 +
8040 -45087 -
4050 -32281 +
16791 -75630 +
14871 -75554 -
5474 -5436 -
4942 73934 +
4169 -26076 -
8057 -9457 +
15237 -18406 +
6385 16133 +
12999 21384 +
12173 -46461 +
22075 81307 +
7472 -11194 -
18175 -75526 +
3365 -8630 +
1483 -28887 +
1372 78861 -
7670 -3748 -
3742 -45732 +
11676 10429 +
10180 -45198 -
12666 -23842 +
21918 -22820 -
7848 -22518 -
