68
53955 831
17340 -13011 -
11215 61714 +
44924 50394 +
5765 -49237 -
44683 91147 -
9247 -27997 +
20716 -32023 -
47741 59055 +
20206 -7849 -
26941 62428 +
3383 -49216 +
14076 46187 +
46277 64869 -
24218 -59131 -
43845 53997 +
22968 73789 +
12192 -17444 +
23711 -44846 +
25118 -53913 -
26480 -27300 -
646 59142 +
18476 -2429 -
34469 -59843 -
29726 -38140 +
33629 -69306 -
17767 6909 -
16846 18790 -
5116 -46409 -
46774 36330 -
5704 5363 +
33931 -67975 -
26684 77493 -
12393 -81584 +
44636 -44304 +
26035 77651 -
20078 -37380 -
27192 86559 +
16885 -38302 +
21719 -63628 -
8343 -94490 -
12629 71717 +
46244 -2462 -
9198 -92360 -
23005 51018 +
40938 -65774 +
29061 -3695 -
28002 10687 +
5690 39484 -
37544 6935 +
45049 18343 -
22565 -81283 +
5096 70279 -
21690 -52266 -
19996 41537 -
23483 66586 -
23876 17320 +
25800 -30950 -
9136 -9037 -
27914 -32215 -
31085 -7810 -
4999 -23899 -
10 2835 +
2912 -51817 -
47659 79716 +
27304 5119 +
2806 -37647 -
25444 -81618 -
42676 94936 +
8513 -51174 -
38833 -21977 -
45163 94307 -
38702 -56485 -
9098 -84698 -
10351 -99270 -
38745 46016 +
34607 70822 -
24927 -55524 +
32581 83724 -
37974 -65683 +
22128 -67797 +
40007 49607 +
38071 90432 +
31212 -45843 -
11720 67376 +
33383 23657 +
31037 22479 +
43437 59035 -
20315 12390 -
18695 -74265 -
3981 -66916 +
29024 58990 -
17077 -94332 -
998 49603 +
1941 78846 -
22540 31513 -
28102 61163 -
21706 -2085 -
34377 87453 +
35159 -59594 -
47037 -33222 +
18170 70220 -
13335 -74746 -
6353 51786 +
35505 97743 +
35024 -14331 +
25509 5352 +
42874 45523 +
18932 -88180 +
40896 89261 +
42320 -51418 +
23692 12032 +
7196 -16288 -
47549 31250 -
38598 -16095 -
2262 -84284 +
11393 35631 -
27406 7432 -
40518 82023 -
30411 -76851 -
33522 -31816 -
36188 -8687 +
18057 393 +
21053 32275 -
32992 89409 -
22391 -86768 -
44064 55038 -
33512 -78607 +
7808 -10028 +
20439 -42608 -
13799 35428 +
28558 24773 -
18418 -71456 -
40225 50282 +
47669 -94935 -
5018 -8428 -
14980 -68116 +
26050 25942 -
27725 -38958 -
15367 -34746 -
27481 90596 +
9870 87679 -
29460 44458 +
3739 -94137 +
31596 -63365 +
42816 -82602 +
40841 -46725 +
11970 -36375 +
14226 -63690 -
33526 -47636 -
25347 40474 -
5253 90228 -
28642 23640 -
13789 85588 -
16966 33151 -
41693 -53993 -
69016 536
4478 72409 +
67358 -28631 +
40008 -76928 +
41149 -91926 +
28303 -77819 -
62853 -25644 -
3657 55908 -
56587 -12238 -
13570 -67504 -
47700 -23279 +
17938 -67701 +
39719 24663 +
28719 95969 -
55583 -68435 +
10793 34368 -
17563 -63698 +
49904 96418 +
49538 -46988 +
14950 780 +
63353 62640 -
52246 -97883 +
24114 -19943 +
63490 43718 +
22747 45322 -
67521 35393 -
66538 83067 +
34359 847 -
45818 12504 +
28007 96774 +
32311 -4098 +
67187 42699 +
19335 -6264 +
63866 1704 -
11492 -84895 +
17503 -88638 -
50663 10577 +
60510 -54522 +
23520 21202 -
4177 -37467 -
36574 91481 -
66754 57362 -
8784 9110 +
2374 45646 +
66335 -8920 -
56921 15323 -
35920 16173 -
47118 -65457 -
25686 -10359 +
1730 -17199 +
40223 -50761 +
11123 30114 +
68059 5833 +
47804 41232 +
52205 84874 -
36860 38934 -
19593 -93920 +
24130 98202 -
53393 -14141 +
10582 47062 -
23843 -47996 -
13202 38803 -
16078 -10674 -
51788 19468 +
67935 35311 +
53263 -40064 -
39967 30605 -
22598 23035 -
19892 96348 -
5915 -43343 -
47877 83801 -
11663 948 +
52333 -52612 -
18709 -55957 -
63843 -57754 -
3563 40121 +
37402 -2465 +
33328 61555 -
59667 94737 -
49565 54979 -
54999 -61496 +
1158 -49045 +
17254 -72538 -
20255 -53505 -
68368 76746 -
25436 -18332 -
13577 -70888 -
68801 85661 +
31501 -66478 +
38340 -94430 +
16293 30442 +
12080 9824 +
55148 80459 +
17408 89447 -
17727 73162 +
45262 84817 -
20863 -70335 +
47337 -82988 +
48317 7056 -
36642 47276 -
49494 -15036 +
6504 -59718 -
13886 63182 +
68495 7787 +
18050 -50974 +
33335 -72249 +
52782 -38946 +
68515 -51339 -
32517 69990 -
64042 -97221 +
59727 54074 -
30384 5655 +
14252 84530 +
12255 23005 -
63191 -62515 +
61014 -4830 -
16683 -72329 -
64111 -5072 +
31206 -96576 -
22751 66349 -
48949 88880 -
4597 75071 -
53960 43921 +
6241 -84809 +
28058 16187 -
17971 -94580 -
31929 60120 -
59388 -64780 -
29207 -14956 -
8255 -16191 -
21621 -64576 +
46085 71252 +
40816 -28901 +
46474 69764 +
38469 84295 +
34714 13397 -
36326 -92499 +
22040 42017 +
46477 1666 +
46337 -52060 +
29729 62463 +
54746 9548 -
48610 -72136 -
8515 -93988 +
31970 79997 +
15790 -48563 +
39023 51762 -
50240 78425 +
27762 98072 -
39853 78036 +
60428 71414 -
67678 -75472 -
25894 65930 -
2991 -3182 +
17257 71675 -
52013 -1799 +
59466 82641 -
11174 -24997 -
2249 93043 +
6838 60659 +
46405 95720 -
3032 12732 -
16080 -12446 +
8934 -20525 -
46764 1301 +
53454 -90174 -
44346 61171 -
47533 39552 -
19233 -31305 +
51872 92693 -
11069 46650 +
29594 37057 +
46038 -92146 -
41516 -17795 +
9874 -48991 +
1187 -43638 +
25603 13407 -
41029 77649 -
40189 -94854 -
12784 83435 +
4509 -14034 +
21415 93883 -
65984 -24368 +
58600 53124 -
60530 54076 -
30981 -35489 +
11990 64097 -
23621 44265 +
12522 -72702 +
12777 63909 -
40561 -53687 -
31390 47268 +
3216 78209 -
10563 70798 +
2811 -55267 -
61016 62508 -
59462 16346 -
63286 -82061 +
28187 -31773 -
29031 6124 -
22632 40398 +
53991 -36419 -
45552 66195 -
21556 -26402 -
10612 -28404 -
19839 -44416 +
50655 86844 +
7843 26051 +
41868 70590 +
8276 7412 -
40676 75943 +
9752 -99308 -
61311 -2950 +
20810 -43369 +
57166 74374 +
61540 -81394 +
61791 -7524 +
48626 -20962 +
10492 -60220 -
34174 4297 +
66658 -24315 +
43161 12557 -
5401 -78958 +
2600 -29205 -
23044 -79521 +
66830 42599 +
13244 12976 -
54103 86252 -
2584 -47692 +
34350 20675 -
41461 -92485 +
14524 -28903 -
36818 -17238 -
16872 45913 -
58124 -54674 -
23589 -13704 +
43297 17933 +
35889 70280 -
16257 43155 +
36801 8878 -
16095 -62186 -
11537 36605 +
5642 -69770 +
3800 43468 +
11767 -1884 -
32641 36812 +
47112 15675 -
13516 -50764 -
37971 -46844 +
59562 -6950 +
64185 66969 +
47260 60 -
17215 12888 +
40553 -73076 +
5893 -68948 +
61712 75800 -
7792 66899 -
68496 12420 -
1974 -6648 -
24414 45420 -
65524 79797 +
28318 6132 +
58445 -33604 -
63202 -30036 -
59177 61586 -
37180 31683 -
17590 885 -
68685 16104 -
43958 -28144 +
16662 51297 +
60731 33601 -
25616 45246 -
45960 -7074 +
904 -87836 -
40493 -43295 +
11609 -57383 +
51682 -87182 +
28578 -3643 +
5628 -81816 -
17036 38559 +
50847 3720 -
59034 -94325 +
49900 -61461 -
54134 22595 -
24347 -89126 +
21685 -47863 -
28130 -42391 +
14912 3066 +
26407 45231 +
22207 5030 +
66117 -51728 -
35266 -70064 -
38013 74507 -
26335 83419 +
1886 -80898 +
67795 47558 -
4327 -14577 -
66770 66142 -
12865 -37400 +
20849 -69129 -
45899 -18623 +
4807 87779 -
62372 88859 +
12158 -81423 -
9866 81393 -
8070 -92054 -
32920 -25428 -
45964 28987 -
22502 -57640 -
16310 -85945 -
13322 50009 +
41541 -76255 -
47565 -12398 +
48854 1136 -
53590 69720 +
12145 46134 -
20018 50193 -
66571 14814 +
52764 31175 -
53171 -135 -
57394 -11613 -
19018 -28757 -
61676 31394 +
56477 -60501 -
60826 -74849 +
20151 -31468 -
65241 48618 +
29254 -55218 -
35624 -10282 +
22144 80564 -
52973 -97303 -
42880 47916 -
34181 61482 -
24828 16931 -
50208 -28461 +
45339 -15750 -
24612 56595 -
14366 -70368 -
50821 20440 +
8295 -12195 +
65275 -80149 -
42557 -28374 +
41008 46219 -
38066 68814 -
62875 16204 +
36592 15432 -
26202 89514 +
65858 -43986 +
67503 64891 +
34384 -91894 +
26713 604 -
30165 46629 +
5623 -28860 +
13041 78665 +
31378 3490 -
17646 65857 -
61941 -52662 +
18595 -44422 +
32801 65815 -
37147 -639 +
66624 -16787 +
43640 60275 +
28747 -51231 +
66073 -85578 +
67265 -46426 +
44268 68122 +
4481 -5206 -
57415 72949 +
37315 28807 -
9591 -35139 +
41110 97984 -
68470 -39216 -
41243 -38267 +
14821 -62021 -
31754 -80039 -
37365 50466 +
21609 -8327 -
52040 2985 +
4424 -88696 +
22116 -9110 +
53770 87204 -
11409 -51776 +
58467 94081 +
17016 11907 -
13265 -71204 +
49058 21338 -
39600 -61356 +
24027 -49640 +
41926 -20145 +
26275 21638 -
22284 81560 +
62223 57161 -
58107 88758 +
24860 -89260 +
3122 92892 +
62218 -86535 -
65496 52976 -
9011 -39886 -
54476 6955 +
47179 -3809 -
28080 38437 -
6417 60170 +
9343 68924 -
12711 28052 +
25515 -54237 +
47025 88626 -
41908 -705 +
34568 86428 +
54208 6079 -
20015 97750 -
64699 -40108 -
11840 67826 +
43317 57119 -
68934 -51824 -
58870 -15510 +
51181 43264 +
3395 -87614 -
2529 97230 +
3943 21487 +
32539 -23513 -
1971 8297 -
48053 80892 +
23718 95687 +
31635 82877 -
28521 -41962 +
1398 -76060 +
45640 86720 +
65480 81476 -
43102 50310 +
61920 81279 -
9199 98402 +
420 67191 -
39507 -44992 +
6922 -76740 -
26552 -69679 +
6160 -95106 +
65962 -45696 +
24779 65490 -
51317 93036 -
34935 26212 +
8511 97993 -
11031 -12167 -
2682 75893 -
29278 -6313 -
31010 -12593 +
16946 -61987 +
37870 41102 -
5683 -11401 +
15034 70487 +
6977 -44814 -
24712 -886 +
30157 -2085 -
43323 -15691 +
61149 65530 +
47494 -2372 -
28490 70714 +
21242 -71885 -
34864 -74196 +
58868 -31848 -
2878 -20612 -
64785 88103 +
2424 2058 +
11632 5192 +
51794 30098 -
28183 -69052 -
10385 -3174 +
40388 -41163 +
46890 36084 +
7423 -7687 -
8429 -1956 +
46018 67705 -
40845 -89431 -
48029 -54911 -
10894 7165 +
1744 9908 +
63907 57414 +
2698 41257 +
2470 -85802 +
39916 -68742 -
57612 -36689 -
11493 -39795 +
30803 -58283 -
57499 -1958 -
39759 77977 -
9089 31855 +
53727 95331 +
25165 -23334 -
64849 -86224 -
34518 -23358 -
50461 -81403 +
45184 -8973 +
44423 -91127 -
18608 14748 +
37727 -77385 -
64350 51490 -
56742 58950 -
19863 23344 +
64140 65580 +
24026 -55887 -
7348 -41393 -
1623 -55648 -
34379 8643 +
46994 -56838 -
9038 -91164 -
31922 41420 -
48869 -14232 -
61953 96891 +
2956 -56985 -
10 75300 -
6192 61778 +
54034 -30590 -
15546 60832 -
37753 -31134 -
45010 -41753 -
39189 59198 +
50153 -93291 -
42141 -40570 -
32273 -42345 +
9489 -4352 +
217 66501 +
38738 45430 -
66466 -72804 -
47470 29779 -
18146 21282 -
15744 4079 -
44872 -59926 +
22028 27913 +
5177 25508 +
33391 33847 +
28197 -61224 +
57671 39312 -
40855 69496 -
44449 -88102 -
59911 -37873 -
52591 65054 -
66939 -62103 -
18097 -34601 -
12703 803
