74
13491 325
13387 -66826 -
10545 -42831 +
1779 -26989 +
6443 -285 -
5575 50790 +
351 39066 +
7671 41520 +
2898 95015 -
6941 -84927 -
9640 6640 -
10178 616
3201 42542 -
9287 -63646 +
4015 -57555 +
1948 -11602 +
3168 31161 -
6368 -38300 -
6515 93034 +
443 -97654 -
5646 -19747 -
812 3849 +
1236 37693 +
8872 -34072 +
7266 90941 -
2496 -32681 -
4087 14580 +
9355 -58817 +
4482 59308 +
5734 35742 -
7566 90694 -
441 81763 -
9101 -40095 +
7480 93622 +
2932 -54276 -
6123 -19371 -
1061 -16904 -
10133 58087 +
219 -55794 +
7220 59745 +
1334 -87841 -
9812 97835 +
6242 4658 -
5198 -7361 -
2680 -52217 -
199 -52449 +
8442 -82241 +
363 -10968 -
1239 57385 -
2206 -17318 +
9594 -86672 +
5988 65324 +
2355 -62754 -
3278 -360 -
9159 -18174 +
6354 -98947 -
9606 -33226 +
7496 -25178 +
676 -92100 -
2510 68088 +
6901 -16337 +
8412 49265 -
2123 -40813 -
4483 -74457 +
4207 16316 +
6374 29190 +
6178 -80610 +
1752 -6799 -
6135 82993 +
6001 94631 +
3292 78202 +
4030 55980 -
1069 54872 +
9544 -5956 +
829 -67509 +
9436 48475 -
6183 -37842 +
548 63062 -
7214 67891 +
1370 -9160 +
5298 10172 -
5268 -20597 -
1742 -83700 -
7526 69647 -
5632 48121 -
10041 86382 -
3132 -31109 -
8916 -89309 -
9611 85290 -
2794 70497 +
5362 97596 +
6642 28152 +
1668 72790 +
2983 -81972 +
5511 75800 +
9425 -22324 +
2637 -9287 -
2470 -11627 +
2649 9108 -
2255 -65359 -
3403 83604 -
3294 -29621 -
6255 -78183 +
9299 76856 +
6138 79723 +
5310 -71303 +
7844 -82065 +
656 83095 +
9457 32421 +
8007 78705 +
784 33888 +
632 -59885 -
6019 58166 -
3374 63755 +
687 -54664 +
1945 96029 +
4070 -93065 +
376 -43676 -
3023 -87245 -
3220 -78629 +
311 -97431 +
7557 79123 -
8424 -70086 +
2837 54288 +
6524 -68509 +
9952 67283 -
1340 -18689 +
5016 -74983 +
4306 32255 +
5956 -27510 -
7687 -57099 +
2541 -3680 -
3557 -24287 +
4293 29185 +
3722 -7193 +
7438 71146 -
5392 -82156 -
7863 6159 -
5293 91576 +
10106 -44383 -
9324 10214 +
7731 24781 +
2555 77050 -
1165 -56619 +
4111 -67549 +
7901 -81295 -
180 43985 -
9882 50252 -
5085 5723 -
4918 8864 +
5832 16704 +
1478 28371 +
3581 5222 -
1973 -65661 -
8903 26833 -
3274 41804 -
2920 -10199 -
2542 39574 +
6116 -84262 -
2107 47247 -
6007 -32484 -
9234 97366 +
9230 -32691 +
7213 66383 -
5557 28076 +
665 60268 +
2838 11892 -
8219 72247 +
3572 29347 +
2458 16562 -
4960 81906 -
1644 -6750 +
4648 30782 -
9662 -945 -
9007 36807 -
5358 -41447 -
4865 82811 -
8011 45084 -
3786 -65999 -
443 75163 -
5681 91781 +
6294 72096 -
9748 33890 +
178 -98075 +
2043 24797 +
7901 -49062 -
7855 -43718 -
6866 35038 -
5145 19580 -
3659 75347 +
5672 -45026 +
8523 76167 +
9540 -44582 -
4682 -89258 -
792 81253 -
7227 72301 +
214 -27661 +
4052 8725 -
2159 -59681 -
247 39035 +
9591 -44722 -
3976 19746 -
3770 -91507 -
6755 77177 +
2360 93366 +
8960 -11595 -
5247 17604 -
3001 -90232 +
768 -23643 +
670 14160 +
2066 -91001 +
1901 61943 -
3585 88972 -
1550 84503 +
484 35102 -
6574 77537 -
2146 -55032 +
344 -46914 -
7387 1933 +
516 11544 -
7136 59418 -
9915 -60215 +
8649 49487 -
5688 85561 -
5975 81722 +
3465 43822 -
8751 -66958 -
9689 -76154 +
3357 31273 +
8428 -83934 +
6645 22006 +
4545 -21678 -
8693 17221 -
5239 18220 -
1857 -65696 +
8435 -9400 +
2044 -67490 +
7517 -7532 -
7573 -16768 +
8515 -60739 +
8070 -74085 +
3669 -33665 +
1391 87122 +
1475 -54339 -
7784 -69626 -
1735 -36459 +
6262 93074 -
8864 -85852 -
2775 -72035 -
821 9956 +
4383 -2913 -
8574 -88402 -
2883 58747 -
6388 -33380 -
6487 309 +
2010 -64631 -
2570 24801 -
658 51133 -
7106 -58038 -
3061 16088 -
5828 -72974 -
4040 -37341 +
2350 -32666 +
803 -90052 -
4584 -28823 +
5379 54237 -
6042 -4403 -
4396 15169 +
2398 -71757 +
3616 -22983 +
1933 17323 -
6929 54945 -
2064 -82769 +
7079 -53086 +
2029 56644 +
1218 30841 +
3576 -64755 +
478 6390 +
6452 -51142 -
6701 6490 -
2521 -36306 +
3466 -22571 +
850 24421 -
7251 35632 -
1624 -77845 -
9164 -28132 +
7794 -1798 -
658 40365 +
8909 -26023 -
2426 24599 +
6664 32901 -
9229 -20680 -
2011 -93288 -
924 -40428 +
8931 95399 +
5052 -40349 -
9235 -39438 +
6638 56030 +
8857 14184 +
6009 -69663 +
8652 -35397 +
8283 -77735 -
5674 -26940 -
5110 84837 -
1785 70963 -
3492 62656 -
8019 -40546 +
4098 -2885 -
6980 -39562 -
6865 231 -
116 -8094 -
8969 58963 -
2413 -65144 -
4173 -40858 -
5080 -72064 -
8688 -67211 -
8865 27715 +
9999 -32780 -
1474 -40205 +
2025 -84999 +
1944 56332 +
4375 96952 -
3596 77805 +
2906 -34982 +
5904 23435 -
7897 -484 -
7614 -22249 -
1300 38692 +
7064 61667 +
4850 -75891 -
9523 -67233 +
3257 -6959 -
2847 -21597 -
7499 94638 +
1697 22069 +
7062 -42972 -
7056 33829 -
4747 97130 +
7741 -11686 -
8506 -71687 +
10175 28393 -
5144 43965 +
6798 -53024 +
5767 72182 -
1623 41886 +
2828 9894 +
985 83208 -
3311 62777 +
8563 -42930 -
7944 -90551 -
4985 -30075 +
833 -72200 +
9227 -24546 +
6444 -28822 -
1314 16849 +
2552 -68422 +
6705 36853 -
2149 -78531 +
5272 -60662 -
556 -10525 +
7269 -90006 -
3781 12765 -
7117 40199 -
8015 74900 -
6665 47204 -
3506 44439 -
3862 -81317 -
7389 65799 +
7126 67695 +
5136 67594 +
6224 -33281 -
2011 -89783 +
9899 8614 -
1075 -29611 -
8809 -94788 +
9707 -27997 +
3951 64056 -
9640 -6343 +
170 43979 -
9290 -20098 +
7971 -73678 -
9359 96122 +
9476 -88743 -
10169 -11790 -
9791 -58159 -
1640 34366 -
74 -32988 +
1876 7583 +
2568 30269 -
4956 -36969 +
9602 -3140 -
846 -87136 +
4922 -43855 -
3421 23608 +
3890 31992 -
1521 -45568 +
5307 48811 -
4274 -93523 +
1342 80456 -
4939 -66634 -
3337 -84843 -
8142 51048 -
9305 -6703 +
5160 76255 -
2692 -81965 -
1532 79385 -
8851 27419 +
9681 57704 +
6567 -4426 +
1707 -49920 +
5451 78289 +
6722 -11968 -
6132 -11311 +
9600 -84093 -
1814 -68448 -
10087 -56697 -
8564 -5373 +
5015 -19460 +
8548 79261 -
2966 -3894 +
5213 -28751 +
7002 57837 -
521 22382 -
5103 -65856 +
9366 21590 -
8625 -22825 -
7675 -12093 +
4827 -47740 -
3547 88895 -
3536 -67707 -
6574 -51901 +
8522 -42329 -
7659 9340 +
4892 -83414 +
8045 -40379 -
5759 90743 +
8423 40007 +
1027 26555 +
9503 60147 +
387 55664 -
4258 68244 -
6133 -58408 +
6330 67598 -
9557 92468 +
1831 87675 +
9298 58414 +
3615 61230 -
3721 3762 -
4823 -20486 +
8557 2526 +
5059 97433 -
7668 -88168 -
8484 -28610 +
2661 36577 -
9551 -53387 -
5666 90503 -
9399 62992 -
2544 98195 -
6109 4775 +
5202 -9357 +
7243 -13541 +
906 16037 -
5156 92168 +
660 78070 +
5197 41458 +
2071 74998 +
5708 27490 -
7070 -43383 -
6552 78321 +
5941 -95718 +
2609 -42125 -
8274 42949 -
8875 -78519 +
2682 89326 -
5700 -27403 +
7048 8677 +
5536 60695 +
6056 42532 -
7480 11742 -
8745 16007 +
3370 -89614 +
9523 36569 -
2203 -88529 +
3094 6334 +
6665 -17613 -
8624 -12886 +
2767 38496 -
8168 -48768 -
1564 -81176 -
6659 43921 -
396 -23033 -
2914 24173 -
9449 93904 +
7459 -27094 +
4641 -50956 -
6224 -51728 +
379 -86694 +
6574 -53401 +
2855 -34686 +
934 36783 +
8692 34330 -
227 73622 +
7512 28476 +
8565 -90146 +
6484 -18795 +
2895 64204 +
3535 20902 -
9039 85115 -
4015 -53952 +
5290 -23882 +
2317 8303 +
9307 -43544 -
4004 -90898 -
889 -21302 -
896 -43740 -
7308 -83493 -
1573 -42934 -
4542 95770 +
4906 10588 -
1379 -80330 +
2404 52168 +
10026 -87599 +
8316 -84534 +
4246 -41138 -
1934 76896 -
1742 62783 -
10120 3840 -
2696 97913 +
3500 72335 +
4817 76306 -
691 -72624 +
1069 -82663 -
4719 -49608 +
6996 36612 -
4530 8610 -
1820 41740 +
8549 12620 +
5412 35188 -
9210 -72546 -
1839 -81184 -
4472 -5960 +
2107 -47996 -
9684 64633 -
762 -81433 +
4186 -92808 +
6682 -21473 +
6727 -35343 -
3362 13991 +
9849 12554 +
6119 -2114 +
6082 44525 +
9579 -72377 +
6960 46545 -
5970 -68515 +
4602 -53527 -
762 81939 +
1602 9505 +
3854 -23213 -
7846 42268 +
7745 -33928 -
5761 51038 +
4574 46464 +
10098 76470 -
7468 -38742 -
8157 -93982 -
1466 28414 +
7746 93731 +
8990 -47967 +
4329 67837 -
6964 67787 +
5125 12795 +
9913 -68531 -
8695 -50398 -
6357 92338 +
10042 -25936 -
8095 -4095 -
293 73817 +
10100 -7706 -
9402 63251 +
432 74057 +
8746 -72546 -
8291 -4440 +
185 70240 +
7596 98933 -
7470 94989 -
8923 -43090 +
3510 -95622 +
2773 -10386 +
1144 56346 -
3751 -33407 +
3768 -42927 +
7507 96099 +
1118 46492 -
5986 -56362 -
2408 -53266 +
4797 -90110 -
6243 -13617 -
5131 -30658 +
1820 -1334 +
6007 -22529 -
1668 -67366 -
6201 -21059 +
3744 4775 +
9927 28725 +
5908 67256 +
3692 90192 -
7537 95256 -
5083 -66003 +
8624 52721 -
490 21859 -
8313 9300 -
9113 -20484 +
3238 -99893 -
3098 86710 +
3792 -60010 -
8836 -61065 -
1473 56041 +
8631 -50886 -
5425 74852 +
6451 -1768 -
1559 -18337 +
4924 91145 +
8218 -24078 +
7456 -93707 +
3360 -83987 +
4207 75352 +
6736 -44163 -
5120 -65801 -
55498 516
42070 18659 -
31322 -75440 +
27884 -62352 -
42344 -65790 -
7148 -58168 -
40182 71807 -
25029 97210 -
21425 1528 -
13800 91744 +
48834 -90806 +
28136 77855 -
32006 -92806 -
27549 4274 -
42267 -47782 -
20667 11955 +
48971 -52180 +
29687 61211 +
33693 -73091 +
21219 22213 +
39945 -49823 -
3516 -40679 -
5564 40841 -
44768 -38726 -
54225 -57616 +
5033 -86144 +
9420 -33781 +
12631 -85575 +
9023 51437 -
44377 70451 -
34235 -54546 -
34790 -34613 -
22318 -60947 +
40011 -79320 -
39795 -40578 +
33964 -84292 +
40028 -20492 +
36414 63070 +
24258 -93579 -
23752 21030 -
24096 -48514 +
25944 76553 +
29456 -46148 -
18404 -52807 -
3849 19357 +
25238 78843 +
9587 57310 -
11630 94540 -
8082 42307 -
22011 58111 +
36452 -72032 +
52400 3946 -
483 95490 +
48708 -47400 +
40563 -79705 +
54823 -79047 +
27777 85136 +
40151 -22642 -
52077 88335 +
46719 69256 +
34936 94948 -
51308 -2964 +
20587 85762 +
17398 -62155 -
45116 1343 +
26211 86988 +
48768 -85594 +
48860 8396 -
21964 48178 +
26113 24780 -
12870 98922 +
18491 18844 +
12084 56973 -
36822 61112 +
52403 77390 +
18002 34228 +
25744 -14801 -
5486 -30618 +
39702 8217 +
2691 3263 -
49112 43668 +
26504 30192 +
12759 -22489 +
45788 -39286 +
32902 -82592 +
2900 -21098 -
38588 45435 -
45462 5346 +
53127 30412 -
15113 -10737 -
32876 -46745 +
21808 -84838 -
23222 78171 -
9990 34577 +
46572 43360 +
43879 53994 +
51490 85214 -
47298 -89107 +
15440 -97401 -
41625 21187 -
32070 -31840 +
16380 -97580 -
36094 84386 -
48949 85032 -
14357 -97313 +
38643 13409 -
19636 31652 -
25299 86479 -
45318 19060 -
37896 -95103 +
2437 54622 +
41614 -86926 -
30383 92642 +
9234 -34629 +
42854 -41806 -
3311 70386 +
25778 12884 +
19050 92160 +
44369 32425 +
25866 -30300 +
6355 -56747 +
30890 -4293 -
5919 52063 -
5475 14242 +
53786 94401 +
23424 38059 +
3057 -75959 -
22120 -88314 +
49542 -6266 -
52700 57848 +
25274 70479 +
38733 -47619 -
55358 26726 +
5162 86310 +
19283 -52067 +
29238 -55695 +
11486 49477 +
15245 -28585 -
53967 -22427 -
13662 66993 +
42886 -45324 -
46223 -8376 -
2087 -45057 +
27643 -50315 +
6859 87134 +
8731 86774 -
45523 43175 -
41000 35307 -
8128 -26270 +
27159 77195 -
27169 -67998 +
51543 87144 -
6013 84836 -
4682 -59238 -
21624 -60273 +
33029 -61256 -
38424 92407 +
10545 -65618 +
33024 -10477 +
7646 -34218 -
7715 -75013 -
47329 -67983 +
4866 -74667 +
41385 90893 -
1752 85111 -
16571 -49998 +
45554 36734 -
3373 34987 +
15411 94646 -
10155 -7357 +
48708 70101 -
5409 -16634 +
1992 -29976 +
38684 35014 +
48847 40352 -
2765 91435 +
26012 -26634 +
49642 77275 +
37199 71706 +
40766 66361 +
40159 -76905 -
48244 24834 +
24262 -94276 -
34762 19636 +
15874 6276 -
52514 -23568 +
25889 -92046 +
50834 -38119 +
10023 -29629 +
4065 -743 -
7051 62978 -
31823 -49711 +
10656 -44741 -
12765 56609 +
38626 41184 -
7483 -41553 -
47087 70929 +
28444 9413 +
24737 -26169 -
6282 -41978 -
41995 51985 +
12953 -58270 -
27000 -1670 -
48588 28579 +
16975 -97139 +
63 95137 +
19190 -82357 +
20017 69650 -
16761 98487 -
14018 75497 -
31987 -3640 -
49616 -81177 -
35475 -92648 -
31515 -1161 +
45906 11902 +
28215 -67629 -
6260 28254 +
29028 57214 -
25086 2214 +
12757 -99725 -
20825 97939 +
32118 49113 -
53470 1343 +
46515 -48657 +
33958 5098 +
21726 -45126 -
17564 87833 -
21206 -96895 -
36537 -5248 +
29082 -82036 -
1483 -36754 -
34516 -25566 +
54027 -29753 +
54825 4799 +
37722 -87439 -
23630 -37560 -
5982 46588 -
5125 -22157 -
32612 -20354 -
38532 26262 +
12497 -26779 -
11567 49136 +
35391 -41452 -
54851 -12974 -
2230 -86308 +
31499 -31660 +
41511 -61416 +
41667 79094 -
5267 -18419 -
2935 7671 -
26880 -92633 +
18471 -37432 +
3335 82367 -
39500 76250 -
22293 -82257 -
36424 12804 -
25404 -68938 -
50942 -14231 -
55473 72098 -
21585 -47919 -
6710 2953 +
51262 -34353 -
404 -7977 +
7871 35803 -
33342 -60987 -
24350 -67715 -
55126 -49058 +
2959 -58351 +
43382 60542 -
40951 -64111 +
23691 -55149 +
14151 -11069 -
3406 82416 +
48377 -41812 +
15545 41800 +
43320 -87098 -
6985 -30971 +
26745 86772 -
55097 -6512 +
44938 -88550 -
19081 -65012 +
15053 94635 +
42409 -13440 -
27544 49807 +
36864 29530 -
44531 -14427 -
46082 -88090 +
1669 64756 +
41721 -13161 -
17303 -33072 -
13713 -39375 +
9192 64731 +
18383 71576 -
26326 -71379 -
41928 -11902 +
34589 -68704 +
38362 50838 -
51745 -40656 +
44399 57977 +
37796 77118 +
49293 -88438 +
24711 -3984 -
51408 50490 -
19128 4411 -
12202 -62714 +
34903 32922 +
54691 86291 -
33953 52114 +
29732 -9024 -
20728 -87422 -
46344 -2807 -
54110 -91362 -
30961 21662 -
25998 847 +
5392 49705 -
14594 -77567 +
32299 46930 +
15084 59465 +
52120 -93938 +
52966 -19796 -
920 92463 -
13701 53767 -
12062 53518 -
22972 92924 +
455 90668 -
49661 55084 -
52483 39233 +
45826 -37835 +
9483 -80241 +
31492 11431 -
34375 -85756 -
43610 27902 -
28051 43582 -
44673 64791 +
41119 51432 +
9275 -94744 -
26248 14455 -
4199 -63936 +
39748 91459 -
14039 -88495 +
49613 -88184 -
8664 87437 -
22816 -78 +
47329 50966 -
22801 -83467 +
27534 26996 +
9579 -14610 +
3608 83412 -
35777 67664 +
43289 8862 -
27782 23837 +
37350 53537 +
47404 81243 +
33701 7503 +
54967 -52146 -
54555 80943 +
49479 -67593 +
10137 -8716 +
21446 75509 +
18400 -26170 +
44672 -45888 -
9378 -13559 -
17152 -30696 -
47234 64516 -
33031 -97031 -
31800 -25929 -
4028 10691 -
31555 65425 -
6636 61919 +
40923 14972 -
39706 -60209 +
34202 39779 +
15527 -15339 -
51833 40786 +
351 -40258 -
14816 -25947 -
11910 -80776 -
40744 -8920 -
24865 -98627 +
10438 22311 +
54230 -46517 -
26749 -91445 +
48689 60677 -
30508 -15332 +
11083 -63323 -
6161 -75432 -
2487 40760 +
40431 38131 -
3402 -61721 +
22796 80347 -
36114 -40474 +
39778 97673 -
16486 -22101 -
48360 86868 -
23790 -41055 +
5624 46479 -
13193 3379 -
45309 65704 +
1492 28637 -
9249 27133 +
5963 -34564 -
44633 86063 -
13603 23489 -
6889 -37081 +
2198 90424 -
25353 -88554 -
18713 41969 +
26312 -95491 -
482 -59824 -
15609 -45896 +
31994 84689 -
6703 -67103 +
25363 27456 -
51589 -58845 +
2896 42311 +
29349 7687 -
50693 -50899 +
37181 -26714 -
22050 97387 -
49193 -68491 +
16135 -22852 +
10455 6330 -
12803 -70752 +
14453 -29858 +
44356 -43137 +
8564 -72749 -
16198 -49568 -
13908 36161 +
211 -67973 -
27739 51869 +
36866 -29023 -
41470 -53916 -
17348 -43229 +
10882 -34690 -
2630 -94013 -
37337 18081 +
23014 1278 +
52324 80987 -
21125 -49187 -
9396 -71778 -
12636 -33530 -
25549 -34463 -
46859 -29585 +
4537 45602 +
13109 16487 -
5622 40546 +
1419 71346 -
49362 -14131 +
7454 38253 -
10494 63918 -
11652 71898 -
46940 -10609 +
49641 93742 -
17083 53022 -
26048 -39377 +
5009 -24894 -
19115 35250 -
3410 -20791 +
39804 75288 +
42926 -6216 +
4208 -67899 -
36711 64494 -
42913 -45880 +
16310 86771 +
41444 -11938 -
23048 -95557 -
20016 -57984 +
45616 61223 +
29297 -99797 -
8129 23321 +
11682 -48427 +
45922 70253 -
47860 5500 +
20040 18210 +
54371 -95030 +
48378 14134 +
23101 -28163 +
31837 -25148 -
13429 -89153 -
46486 -75349 +
53879 70382 -
17627 72089 +
30600 72430 +
41004 49823 +
3474 -80194 +
8368 77855 -
39048 -1346 -
9549 74501 -
18417 -20288 -
1475 296 -
3910 -7946 -
35642 -92362 +
25241 -56528 +
33060 83064 +
2460 69074 +
30438 -708 +
9601 -13861 -
26057 -38402 -
32274 -20443 +
1673 6949 -
42119 37988 -
54539 95345 +
18574 -53683 +
12304 70612 -
46766 -43295 -
13684 -39679 +
24759 -23151 -
9652 -46642 +
4696 30333 -
1478 -6483 +
47403 46660 +
49439 -49667 -
9391 -30713 -
29711 8252 +
21122 -87429 +
5551 -25344 -
46571 -89304 +
1549 468
1041 22715 +
831 -75922 +
91 -23952 -
470 6511 +
774 60659 -
525 -34576 +
823 -30443 -
135 74930 +
815 31203 +
1537 32118 -
1331 68538 +
271 96896 +
421 -18968 +
287 -63515 -
731 72798 -
961 -81623 -
215 -38792 +
61 -79511 -
165 77013 -
1113 70616 +
106 -64389 +
56 -50699 +
764 44085 -
1458 76371 -
888 21303 -
1271 -28450 -
1070 -65694 +
925 86577 -
862 42714 -
1463 50434 +
240 49062 -
474 98391 -
1115 -3837 +
949 -41546 +
678 3291 -
1449 -79715 +
738 -85407 -
1081 46818 +
663 15757 -
1166 67921 -
465 -27499 +
167 99449 -
1240 1307 -
1144 -25073 -
573 84933 +
1014 -76204 -
886 2068 -
1445 43065 -
843 -50950 +
495 28092 +
1098 -95848 -
331 39998 +
1530 -7566 -
1418 28840 -
546 -41941 +
704 80711 +
1125 -58362 -
571 -80523 -
438 25576 +
450 -8424 -
1146 76326 -
522 -32376 +
453 95617 -
1359 -26936 -
482 -71886 -
511 418 -
956 -61652 +
860 -73606 +
476 -57795 +
1139 -9092 +
421 -93917 -
946 -75577 +
1012 3185 +
163 20842 +
208 48169 +
830 -12435 +
487 18810 -
563 19882 +
633 32992 +
1006 47364 -
1525 5688 -
1361 -49727 +
476 -92879 +
741 50561 -
1267 83826 +
268 -33486 +
72 -53357 -
254 49522 +
56 -72996 -
899 7908 +
415 -80029 +
315 -15702 +
858 -78970 +
1427 86214 +
14 -44650 -
1017 6650 +
451 -50593 +
1499 42148 -
1490 72477 +
1166 6512 -
188 -14034 +
949 -38302 +
140 -98003 -
1436 -524 -
484 -21029 +
146 49109 -
1287 -30300 +
133 36652 -
647 75492 +
1209 52401 -
918 56845 +
25 22654 +
457 -20200 -
50 -29588 -
473 -20919 -
712 -63688 +
958 79432 +
1313 -98655 +
299 11453 -
626 -34413 +
472 -14336 +
525 58916 +
1375 7670 -
1440 -48954 -
471 -35133 +
344 -36319 -
1533 38584 +
797 -79634 -
1034 -83355 +
416 73579 +
826 32722 -
1400 -78882 +
1527 15997 +
326 -80396 -
507 69549 +
851 55415 -
242 60150 -
990 74351 +
843 -65184 -
963 82953 +
912 -67896 -
215 -65536 -
368 -80021 -
525 -59857 -
851 83801 -
401 77295 +
577 37607 -
716 -14796 +
389 34457 +
821 47993 +
379 12259 +
255 -25572 +
694 -99246 -
578 81538 -
367 -12023 +
1417 85966 -
729 64241 -
239 73530 +
676 44169 -
116 32547 +
1247 87466 +
586 -42163 +
1298 -80677 +
942 -23819 -
22 90328 +
653 57950 +
843 -50790 +
562 -76498 -
713 -59826 +
219 -65986 +
1366 -66468 +
684 -59686 -
1082 -96058 +
668 -12407 -
873 -81179 +
1419 -26393 +
1343 85224 -
637 82227 +
1344 -74748 -
1136 57568 +
410 94439 -
358 -98638 -
550 79291 -
1425 -52020 +
1165 -2325 -
527 -13311 -
1331 67627 -
436 -63317 +
294 56452 +
120 99066 -
814 40400 -
1408 39556 -
1086 93429 +
602 -55600 -
416 -89018 +
1216 6271 +
1421 -52922 -
83 35388 -
1537 64907 +
1375 70526 -
1398 -76152 +
134 -21956 -
705 -49037 -
53 70159 -
123 -42109 +
115 58940 -
270 64099 +
497 15911 -
27 48075 -
676 78370 -
817 -29994 +
1100 88480 -
1236 50702 +
1057 -44938 +
1530 55817 +
182 43197 +
647 52174 -
847 -52132 -
